datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,cu_total,cu_delta,cu_suisun,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2013-10-24,dsm2,base,1001,7022.81,6980.0,1524.0,2109.0,1337.38,565.22,772.16,5100.44,0.0,,546.01,3.01,3.58,1.9,0.12,3797.05,3797.05,499.51,8418.38,622.69,653.54,8144.02,8144.02,911.5,2632.48,563.45,12992.01,12875.1,18154.84,537.01,541.25,8554.21,1230.37,11993.17,25152.24,13781.04,8274.69,498.54,429.55,592.45,17403.79,282.3,409.03,488.45,437.4,8464.98,219.25,154.34,1278.97,437.66,991.9,586.98,325.27,7131.92,428.35,84.2
2013-10-25,dsm2,base,1001,7273.41,7202.0,2242.0,2395.0,1609.63,804.67,804.96,5510.78,0.0,,465.02,3.04,3.61,2.52,-0.02,3269.87,3269.87,501.69,8507.43,584.44,653.91,7421.88,7421.88,891.43,2300.81,564.81,13114.91,13007.19,17932.66,539.69,542.89,8355.73,1105.47,11265.8,23639.88,13005.99,8137.49,500.55,430.38,614.13,16671.35,278.25,441.24,491.67,416.27,8206.71,196.11,152.94,1112.74,485.89,892.52,563.98,328.59,6937.65,468.65,84.2
2013-10-26,dsm2,base,1001,6917.75,6845.0,2511.0,2393.0,1869.87,1022.98,846.89,5165.88,0.0,,312.05,2.58,3.55,3.36,-0.03,3392.08,3392.08,508.34,8521.97,535.44,663.82,7756.85,7756.85,921.76,2350.15,574.58,12996.21,13157.96,17633.12,549.67,553.05,8498.61,1135.23,11661.48,23127.25,13716.63,7702.64,506.85,431.29,589.66,16436.57,281.39,476.85,494.44,429.64,8292.44,227.88,152.95,1177.16,516.27,921.37,487.56,336.65,7260.55,496.33,84.2
2013-10-27,dsm2,base,1001,5270.49,5231.0,2642.0,2668.0,1860.02,1093.11,766.91,3384.47,0.0,,294.01,2.23,3.35,4.38,0.04,3189.11,3189.11,512.56,8283.17,402.85,665.05,7594.9,7594.9,914.04,2348.71,580.52,13134.67,13128.61,17482.75,554.58,558.47,8482.17,1084.9,11355.16,22929.71,13607.8,8075.81,511.05,431.81,532.36,16173.34,280.49,515.52,497.04,422.5,8050.53,214.98,155.9,1140.18,506.03,901.91,346.08,343.75,7320.8,484.95,84.2
2013-10-28,dsm2,base,1001,7732.83,7697.0,2671.0,2192.0,1808.17,1042.06,766.11,6403.66,0.0,,295.0,2.01,3.26,5.19,0.13,2854.1,2854.1,504.24,8064.22,305.51,660.64,7108.45,7108.45,896.44,2205.63,580.5,13251.75,13156.15,17296.13,555.79,559.53,8038.65,1005.81,10799.63,22051.29,13085.32,7871.62,502.66,431.0,430.75,15610.71,277.28,541.18,499.73,400.64,7344.45,202.77,156.24,1062.65,503.04,845.16,300.51,346.52,7318.9,464.49,84.2
2013-10-29,dsm2,base,1001,7974.13,7672.0,2575.0,1755.0,1921.85,1153.41,768.44,6872.28,0.0,,248.02,1.81,3.46,5.65,0.22,2521.64,2521.64,491.96,8005.14,296.23,652.27,6479.92,6479.92,875.3,1893.53,575.9,13248.1,13189.61,16966.44,552.06,555.76,7533.75,919.97,10051.83,21519.69,12776.96,7344.3,489.82,434.66,356.16,15063.25,274.21,507.51,502.82,374.95,7115.41,194.91,158.53,927.65,446.47,766.43,298.01,352.79,7296.11,392.7,84.2
2013-10-30,dsm2,base,1001,8244.99,8032.0,2306.0,2843.0,2103.09,1309.42,793.67,5604.91,0.0,,223.01,1.84,3.73,5.76,0.17,2663.26,2663.26,510.02,7893.96,279.92,653.11,6604.24,6604.24,877.29,1919.48,573.24,13230.57,13204.73,16908.34,556.26,559.73,7710.29,932.23,10183.23,23011.88,12895.0,7110.65,507.17,435.4,334.91,15425.3,275.08,429.17,506.33,381.79,7261.27,200.93,165.17,952.79,408.75,774.92,257.82,369.71,7446.16,372.16,84.2
2013-10-31,dsm2,base,1001,8769.06,8613.0,2012.0,4843.0,1960.66,1300.42,660.24,3977.39,0.57,,241.99,1.78,4.0,5.45,0.07,2990.43,2990.43,527.69,7698.12,245.23,653.08,6941.72,6941.72,878.46,1995.77,571.23,13274.39,13237.56,17205.99,562.74,565.69,8188.74,996.41,10591.53,24898.54,13059.12,7367.67,526.81,437.52,314.68,16113.81,280.02,381.5,509.68,405.92,7658.8,202.17,165.93,985.4,369.86,809.6,232.26,360.37,7537.69,373.98,84.2
2013-11-01,dsm2,base,1001,8999.61,8900.0,1739.0,3412.0,3569.84,2971.7,598.14,3756.77,1.0,,282.97,2.0,3.87,4.78,0.04,3546.31,3546.31,545.39,7550.62,230.32,656.92,7774.5,7774.5,887.96,2423.1,565.35,13303.25,13294.5,17859.92,567.98,570.51,9065.8,1131.72,11519.81,26629.64,13368.97,7894.86,544.49,454.42,280.24,17510.08,290.23,363.22,512.68,436.58,8274.43,230.22,158.95,1156.09,387.42,908.85,240.56,349.16,7688.15,385.53,84.2
2013-11-02,dsm2,base,1001,9170.59,9107.0,1578.0,3870.0,3505.85,2910.79,595.06,3372.74,1.0,,346.95,2.24,3.53,3.87,0.01,3553.82,3553.82,549.05,7552.41,235.73,656.24,7693.71,7693.71,882.5,2376.23,568.77,13362.46,13349.2,18255.51,565.96,569.08,9134.56,1139.98,11487.16,26097.56,13067.26,8182.61,548.71,472.84,257.83,17514.04,294.53,348.9,515.16,430.3,8415.43,220.59,163.51,1150.23,369.08,910.05,267.63,343.8,7577.81,369.19,84.2
2013-11-03,dsm2,base,1001,10154.71,10017.0,1430.0,3965.0,3146.29,2599.9,546.39,4473.42,1.0,,422.93,2.34,3.36,3.04,-0.03,3220.4,3220.4,547.23,7835.89,261.43,651.48,7153.74,7153.74,874.82,2114.54,571.41,13336.54,13457.15,18146.28,562.55,564.92,8792.21,1054.2,10948.67,24064.16,12730.61,7692.95,546.88,481.25,265.84,16648.49,294.35,336.76,518.73,406.12,8181.05,204.9,173.2,1030.97,369.21,824.1,309.69,346.29,7412.14,374.01,84.2
2013-11-04,dsm2,base,1001,10083.56,9947.0,1343.0,4954.0,3340.17,2751.92,588.25,3132.39,1.0,,485.8,2.45,3.32,2.37,0.07,2878.91,2878.91,546.94,8055.83,306.04,646.11,6733.81,6733.81,874.13,1895.1,565.5,13229.63,13485.04,17665.82,560.68,563.55,8236.67,971.78,10543.36,23116.46,12914.08,6990.97,546.53,483.15,292.02,16009.38,290.99,324.66,524.52,381.18,7824.89,206.19,176.07,920.43,384.79,745.24,375.83,353.1,7358.64,391.93,84.2
2013-11-05,dsm2,base,1001,9903.21,9531.0,1277.0,5040.0,3434.75,2859.75,575.0,2705.46,1.0,,553.76,2.57,3.32,1.98,0.19,2842.72,2842.72,546.52,7966.97,349.4,641.31,6719.34,6719.34,868.5,1882.76,558.7,13136.67,13377.89,17379.95,559.25,560.72,8050.36,958.65,10532.25,22924.5,12920.69,6845.81,546.49,486.08,328.23,15875.97,288.93,316.93,533.41,376.87,7718.13,209.87,174.76,925.94,409.29,742.89,437.88,361.66,7354.3,415.57,84.2
2013-11-06,dsm2,base,1001,9611.94,9395.0,1221.0,5069.0,3433.52,2899.51,534.01,2330.42,1.0,,603.82,2.51,3.32,1.83,0.24,2899.71,2899.71,545.16,7703.65,402.14,635.47,6832.25,6832.25,861.32,1962.14,551.78,13058.41,13273.16,17198.08,554.68,557.19,8040.42,970.54,10672.56,23124.74,12976.94,6856.17,544.88,487.41,374.1,15864.84,287.68,311.51,543.65,380.47,7734.33,219.94,170.24,965.82,436.84,763.48,501.5,364.6,7382.86,446.58,84.2
2013-11-07,dsm2,base,1001,9350.18,9192.0,1170.0,5663.0,3522.09,2956.97,565.12,1335.09,1.0,,621.93,2.39,3.47,1.86,0.15,3064.68,3064.68,542.86,7480.12,445.77,631.12,7100.4,7100.4,855.39,2032.0,547.22,12996.64,13175.67,17138.24,550.49,552.45,7972.06,1008.6,10893.7,23191.61,12956.13,7139.32,542.55,489.41,427.47,15948.64,287.81,307.79,552.18,388.67,7688.12,224.24,166.33,995.06,446.93,799.32,561.43,365.22,7422.19,457.63,84.2
2013-11-08,dsm2,base,1001,9550.3,9443.0,1131.0,4982.0,3547.82,2991.85,555.97,2151.48,1.0,,651.89,2.29,3.35,2.09,0.13,3386.71,3386.71,540.22,7381.69,487.38,632.23,7591.14,7591.14,861.57,2274.35,546.51,12985.7,13094.18,17309.12,547.0,549.67,8182.49,1090.65,11378.03,24441.74,13088.77,7625.21,539.91,490.83,477.58,16551.61,290.57,307.09,556.83,406.39,7824.35,239.57,161.94,1118.83,454.54,871.61,605.69,366.02,7469.23,464.84,84.2
2013-11-09,dsm2,base,1001,9388.45,9277.0,1096.0,5170.0,3623.0,3077.22,545.78,1691.45,1.0,,688.87,2.23,3.18,2.46,0.06,3448.42,3448.42,538.76,7413.29,529.6,633.82,7598.68,7598.68,862.71,2304.62,551.74,13034.01,13047.66,17519.63,545.08,547.87,8148.22,1115.76,11425.58,23896.93,12826.58,8150.46,538.72,490.09,530.62,16514.4,292.9,306.44,559.14,408.55,7711.81,223.36,161.29,1144.46,460.21,892.28,625.95,366.11,7372.03,465.15,84.2
2013-11-10,dsm2,base,1001,9152.44,9021.0,1080.0,5167.0,3632.65,3138.48,494.17,1432.79,1.0,,737.82,2.11,3.17,2.81,0.01,3325.31,3325.31,538.24,7614.32,572.54,635.22,7429.79,7429.79,876.03,2215.0,553.98,12968.6,13042.82,17449.0,545.83,547.99,7720.77,1087.34,11189.21,23089.03,12804.75,7860.27,537.98,488.77,573.1,16178.83,292.39,305.79,560.08,400.63,7272.15,212.2,158.97,1100.26,467.08,858.83,654.89,366.03,7306.78,469.2,84.2
2013-11-11,dsm2,base,1001,9171.35,9043.0,1080.0,4485.0,3743.9,3217.36,526.54,2022.46,1.0,,735.01,1.93,3.17,3.03,0.02,3347.22,3347.22,540.31,7797.79,605.91,638.03,7445.15,7445.15,891.72,2253.2,555.76,12919.3,12996.07,17414.33,548.73,550.89,7449.25,1105.37,11290.03,23332.62,12805.19,7886.43,539.78,488.36,599.4,16197.06,292.42,306.58,560.2,402.21,6823.9,209.4,161.41,1111.38,472.1,878.34,691.49,364.59,7265.68,470.02,84.2
2013-11-12,dsm2,base,1001,8834.1,8722.0,1069.0,4593.0,3817.33,3306.4,510.93,1492.77,1.0,,743.97,1.8,3.1,3.15,-0.01,3556.45,3556.45,543.68,7831.25,632.67,645.79,7753.44,7753.44,914.85,2443.17,558.64,12924.35,12931.88,17585.33,551.17,554.36,7395.4,1167.65,11484.15,23684.39,12830.4,8182.04,543.12,488.98,627.25,16499.83,294.16,308.56,559.89,415.56,5736.2,214.1,162.85,1197.46,473.67,927.48,735.34,362.04,7297.88,475.61,84.2
2013-11-13,dsm2,base,1001,8639.56,8532.0,1065.0,4589.0,4062.35,3495.27,567.08,1053.21,1.0,,744.0,1.82,3.25,3.17,-0.01,3537.46,3537.46,546.96,7833.81,667.07,651.12,7665.3,7665.3,928.06,2426.36,562.47,12945.43,12877.39,17633.4,555.64,558.08,7072.42,1169.19,11394.37,23747.85,12788.11,8243.5,546.62,490.59,662.34,16471.89,295.51,311.15,558.84,416.04,4734.47,214.13,170.4,1184.66,479.82,926.48,737.96,358.81,7284.24,475.62,84.2
2013-11-14,dsm2,base,1001,8419.97,8337.0,1060.0,5207.0,3914.14,3421.13,493.01,358.83,1.0,,737.03,1.94,3.43,3.13,-0.01,3941.21,3941.21,547.07,7934.57,693.48,663.72,8199.26,8199.26,958.98,2700.43,565.94,12990.61,12857.99,17957.21,561.39,563.63,6997.44,1291.14,11903.39,25215.32,13104.21,8564.21,546.4,491.59,692.1,17119.34,300.75,314.53,557.63,444.35,5069.41,235.26,171.58,1333.67,482.14,1036.41,745.76,356.94,7344.98,480.37,84.2
2013-11-15,dsm2,base,1001,8511.46,8444.0,1040.0,4110.0,3964.32,3447.16,517.16,1477.14,1.0,,718.07,2.21,3.51,2.97,-0.07,4472.12,4472.12,549.48,8043.38,710.99,690.07,8886.62,8886.62,998.41,3092.5,578.26,13059.82,12910.31,18453.29,570.67,573.1,7127.02,1483.57,12584.13,26660.52,13487.59,9066.49,548.59,489.87,713.0,18106.08,310.39,318.17,557.4,482.08,5567.12,277.05,180.24,1539.91,487.28,1198.42,746.15,354.99,7405.64,489.14,84.2
2013-11-16,dsm2,base,1001,8472.38,8397.0,1042.0,3559.0,3901.59,3417.75,483.84,2053.79,1.0,,718.0,2.53,3.55,2.7,-0.03,4913.55,4913.55,553.48,8249.53,722.22,723.94,9369.02,9369.02,1037.3,3417.67,599.3,13167.09,12991.39,19177.52,583.17,587.39,7308.48,1663.53,13130.19,27442.79,13881.84,9539.1,553.03,490.11,724.27,18909.24,323.77,322.59,557.49,516.49,6184.18,300.32,187.46,1718.59,486.72,1331.27,739.74,355.52,7450.84,497.0,87.6
2013-11-17,dsm2,base,1001,8616.37,8521.0,1044.0,4057.0,3863.47,3380.37,483.1,1739.91,1.0,,723.98,2.67,3.71,2.42,-0.01,5152.7,5152.7,562.56,8617.84,730.98,761.68,9685.12,9685.12,1090.26,3624.89,627.22,13262.93,13085.37,19656.64,601.19,606.52,7474.74,1779.66,13502.44,27736.62,14226.39,9772.74,561.93,491.1,732.12,19276.74,335.54,327.59,558.02,541.7,6698.22,313.74,188.69,1833.01,486.52,1410.93,722.67,355.63,7490.99,499.95,89.0
2013-11-18,dsm2,base,1001,8396.05,8283.0,1046.0,4027.0,3761.52,3285.32,476.2,1653.53,1.0,,718.02,2.96,3.9,2.14,-0.08,5581.48,5581.48,580.01,9073.05,732.48,814.1,10382.61,10382.61,1163.27,3985.16,662.52,13525.23,13173.17,20251.09,628.58,635.75,7976.35,1967.12,14278.36,28532.38,14846.59,10132.74,579.53,494.3,733.61,20105.98,350.82,332.29,559.09,582.63,7730.54,369.71,187.33,2081.42,489.14,1587.66,720.57,357.55,7636.51,494.65,89.0
2013-11-19,dsm2,base,1001,8497.38,8360.0,1048.0,4789.0,2641.01,2429.21,211.8,2115.38,1.0,,705.05,3.21,4.06,1.95,-0.06,5938.25,5938.25,605.94,9523.39,730.13,872.23,10894.43,10894.43,1242.26,4339.11,707.06,13813.23,13315.55,20890.68,665.7,671.78,8531.08,2142.84,14891.36,29682.92,15340.25,10764.14,604.84,502.26,729.37,20724.01,366.71,337.4,560.62,620.13,8487.34,412.39,194.59,2261.92,497.89,1750.36,725.81,361.16,7801.39,494.25,89.0
2013-11-20,dsm2,base,1001,8790.03,8525.0,1092.0,2631.0,539.95,714.32,-174.37,6711.09,1.0,,715.96,3.2,4.36,1.86,0.0,6551.85,6551.85,639.66,9955.63,728.69,947.63,11700.72,11700.72,1346.3,4877.61,764.09,14199.81,13062.32,21618.24,705.84,717.19,9421.4,2416.58,15737.06,30012.07,15799.56,11495.48,638.6,516.52,732.78,21530.93,385.74,341.3,563.72,681.46,10442.31,486.32,194.87,2633.49,534.24,2005.49,724.06,370.6,8000.37,519.51,89.0
2013-11-21,dsm2,base,1001,9942.11,9644.0,1307.0,2429.0,-370.72,-74.3,-296.42,9190.83,1.0,,695.01,3.12,4.4,1.94,0.01,6709.6,6709.6,664.61,10402.95,727.64,1006.47,12134.05,12134.05,1440.19,5145.02,809.62,14462.53,13076.86,22219.49,749.1,756.04,9843.88,2482.46,16273.66,31276.33,16271.95,11812.18,663.2,527.87,738.73,22219.2,397.2,349.86,571.56,698.8,10728.86,501.5,196.82,2716.04,584.65,2088.72,716.42,386.0,8270.41,548.88,89.0
2013-11-22,dsm2,base,1001,9241.34,8966.0,1247.0,2274.0,129.22,291.77,-162.55,8085.12,1.0,,658.13,3.08,4.06,2.23,0.01,6574.26,6574.26,695.87,10897.6,723.83,1044.36,12038.22,12038.22,1514.68,4969.25,856.31,14606.88,13141.03,22728.16,784.99,796.71,10152.88,2415.33,16295.08,30678.94,16094.44,12567.85,694.73,539.04,740.84,22205.81,399.45,361.99,580.5,691.37,10895.68,421.11,201.43,2640.59,583.85,2060.5,723.85,398.33,8314.12,546.8,89.0
2013-11-23,dsm2,base,1001,9296.6,9097.0,1185.0,2048.0,-105.98,97.51,-203.49,8539.58,1.0,,652.02,2.99,3.81,2.78,0.09,5621.97,5621.97,707.09,11373.56,721.09,1057.38,11080.63,11080.63,1539.23,4286.78,877.94,14636.16,13407.32,22492.95,807.85,815.73,9556.44,2058.16,15447.98,28172.13,16037.68,11777.97,706.39,544.63,739.77,21135.9,386.88,383.98,587.42,622.56,10476.6,324.16,209.06,2220.09,637.23,1723.54,708.11,411.7,8201.84,590.2,89.0
2013-11-24,dsm2,base,1001,9055.31,8902.0,1137.0,2786.0,708.34,604.73,103.61,6697.97,1.0,,715.77,2.78,3.76,3.42,0.07,4681.11,4681.11,714.08,11508.92,710.43,1055.7,10024.72,10024.72,1526.06,3513.82,884.65,14733.24,14287.73,21801.8,820.83,829.55,8974.52,1746.39,14414.05,26289.35,16006.66,10557.07,711.59,548.0,739.87,19995.54,371.07,412.28,596.7,550.66,10528.28,283.59,205.9,1798.43,670.56,1436.14,676.14,426.28,8192.02,617.02,89.0
2013-11-25,dsm2,base,1001,9160.66,9020.0,1104.0,2164.0,2863.81,2425.01,438.8,5236.86,1.0,,725.96,2.46,3.82,4.04,0.08,4351.32,4351.32,737.08,11177.48,689.13,1053.16,9694.17,9694.17,1526.89,3318.57,886.48,14932.88,14759.07,21221.64,835.29,843.49,8966.52,1652.89,14039.44,25761.27,16108.61,10159.03,734.09,552.64,729.52,19449.26,363.38,436.61,609.83,533.12,10841.33,288.68,208.73,1691.81,654.83,1357.48,665.98,433.1,8467.18,607.14,87.8
2013-11-26,dsm2,base,1001,8687.0,8550.0,1074.0,3043.0,3377.48,2891.19,486.29,3340.52,1.0,,752.9,2.15,3.78,4.57,0.19,4296.98,4296.98,764.76,10715.53,675.58,1043.74,9551.88,9551.88,1502.7,3310.41,885.38,15168.99,14957.73,20841.82,849.11,856.6,9047.59,1606.44,13926.26,26185.48,16142.8,9945.28,759.81,559.27,712.6,19301.98,359.91,455.72,624.49,534.06,10960.46,288.93,215.99,1679.11,625.08,1326.07,712.44,426.6,8746.03,588.2,87.4
