datetime,model,scene,case,sac_flow,sjr_flow,exports,ndo,dcc,smscg,vern_ec,sf_tidal_energy,sf_tidal_filter,northern_flow,cu_total,cu_delta,cu_suisun,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu2,vol,wci,x2
2011-10-21,RMA,base,2,17095.1,4418.0,10382.0,11156.66,1.0,0.0,256.54,4.87,0.15,17921.46,1536.81,800.8,736.01,5433.79,5433.79,460.26,12360.22,247.82,819.26,7180.01,7180.01,1272.53,1978.16,725.91,14974.25,14215.41,15025.75,530.79,547.75,14336.12,2000.82,10952.01,22419.39,14316.01,9338.31,459.33,414.82,361.25,15997.68,308.66,609.01,439.28,357.48,13071.24,349.59,122.39,1313.2,411.38,1217.76,252.01,378.56,13036.71,405.38,88.18
2011-10-22,RMA,base,2,16658.4,4316.0,9868.0,11158.69,1.0,0.0,261.04,5.05,0.13,17480.2,1564.37,769.51,794.86,4843.0,4843.0,496.19,12523.79,258.25,857.64,6469.23,6469.23,1283.77,1644.0,749.09,15038.61,14433.61,14923.63,575.03,593.07,14381.69,1840.28,10420.81,22650.4,14427.34,8694.76,494.65,431.53,320.66,15836.89,310.01,491.1,435.95,330.83,13242.2,302.92,122.27,1151.24,384.74,1117.67,260.8,380.44,13282.81,383.66,87.34
2011-10-23,RMA,base,2,16146.9,4468.0,11620.0,8937.44,1.0,0.0,256.54,4.83,0.11,16904.8,1658.02,815.36,842.66,4377.94,4377.94,535.74,12650.2,262.29,881.31,5881.71,5881.71,1281.97,1400.24,758.39,14991.16,14549.34,14767.15,612.2,631.11,14441.47,1718.78,9944.85,22857.78,14426.24,8128.36,534.63,457.21,306.57,15701.87,306.7,405.64,444.78,320.34,13393.41,271.41,122.59,1019.3,381.95,1035.06,262.86,371.93,13428.32,401.02,86.27
2011-10-24,RMA,base,2,15746.5,4446.0,12170.0,8602.6,1.0,0.0,261.46,4.37,0.03,17150.35,1656.37,823.74,832.63,4021.14,4021.14,568.51,12739.12,261.59,896.8,5444.76,5444.76,1281.36,1193.93,764.57,14905.42,14571.99,14622.11,639.23,658.86,14475.24,1625.62,9546.23,23077.09,14385.75,7698.08,568.15,489.0,303.13,15585.01,301.11,359.2,464.92,314.67,13517.43,247.88,122.45,907.85,381.79,975.44,262.67,368.57,13513.51,427.14,85.31
2011-10-25,RMA,base,2,15515.5,4565.0,10971.0,9891.65,1.0,0.0,251.13,3.78,0.05,16919.59,1378.21,621.94,756.27,3724.15,3724.15,595.17,12825.27,261.33,901.68,5196.05,5196.05,1283.4,1051.11,751.1,14853.86,14559.85,14526.55,662.81,681.55,14489.6,1540.6,9259.7,23418.34,14369.44,7421.59,594.78,515.77,294.65,15559.01,295.21,333.21,494.75,310.73,13630.84,234.24,125.23,815.0,370.27,921.78,261.3,374.51,13585.75,441.68,84.56
2011-10-26,RMA,base,2,14965.5,4443.0,10704.0,9339.47,1.0,0.0,249.96,3.04,0.1,16082.66,1244.1,482.19,761.91,3344.01,3344.01,620.18,12859.9,255.68,888.47,4750.86,4750.86,1263.85,872.35,693.89,14754.04,14539.1,14375.76,674.2,690.63,14492.66,1404.0,8711.66,23345.48,14312.39,7166.26,619.68,538.42,285.29,15235.38,290.19,315.95,527.29,294.24,13706.89,216.3,127.16,727.41,357.85,860.9,255.85,381.33,13626.83,443.65,83.73
2011-10-27,RMA,base,2,15281.2,4579.0,10674.0,9653.54,1.0,0.0,239.17,2.41,0.03,16138.59,1186.3,390.05,796.25,2973.44,2973.44,629.3,12854.64,250.81,862.56,4170.16,4170.16,1227.83,701.74,663.82,14589.34,14493.49,14142.59,656.3,671.14,14480.61,1267.78,8008.71,22986.76,14191.28,6916.46,630.07,552.25,283.86,14675.46,284.01,303.63,555.17,266.41,13750.25,198.6,126.8,640.53,355.87,786.96,251.09,385.26,13637.25,458.84,82.68
2011-10-28,RMA,base,2,15229.5,4419.0,10619.0,9561.23,1.0,0.0,250.58,1.81,0.01,16110.96,1134.91,349.73,785.18,2685.7,2685.7,613.55,12843.04,247.71,833.46,3667.85,3667.85,1194.53,572.13,649.8,14405.39,14414.82,13890.55,636.3,652.78,14449.5,1168.61,7386.84,22681.44,14056.19,6735.78,615.75,555.97,284.83,14161.7,275.9,294.05,579.23,248.86,13772.5,183.39,126.93,558.38,360.43,715.53,250.31,388.79,13633.66,475.94,81.47
2011-10-29,RMA,base,2,14748.8,4280.0,10808.0,8984.99,1.0,0.0,264.0,1.36,0.11,15708.94,988.99,195.95,793.04,2521.86,2521.86,593.57,12855.68,256.44,808.93,3423.69,3423.69,1166.73,505.82,630.22,14290.51,14319.28,13756.8,622.89,640.97,14403.34,1110.75,7060.24,22741.41,13982.11,6683.01,595.86,550.66,284.3,13959.4,266.6,286.53,600.0,245.22,13789.69,173.17,128.92,506.3,368.3,679.42,260.71,392.81,13636.47,488.68,80.61
2011-10-30,RMA,base,2,14216.4,4349.0,11025.0,8719.79,1.0,0.0,255.29,1.19,0.3,15491.1,916.11,95.32,820.79,2475.65,2475.65,577.92,12886.59,264.85,792.84,3396.11,3396.11,1146.42,485.61,616.41,14297.21,14237.31,13788.77,611.15,629.97,14352.41,1088.71,7053.63,23144.94,13997.89,6722.15,580.11,539.38,290.21,14103.4,257.43,281.71,613.52,250.83,13803.58,167.82,129.17,489.9,379.08,672.36,266.66,388.64,13649.26,484.15,80.08
