datetime,model,scene,case,sac_flow,sjr_flow,exports,ndo,dcc,smscg,vern_ec,sf_tidal_energy,sf_tidal_filter,northern_flow,cu_total,cu_delta,cu_suisun,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu2,vol,wci,x2
2013-10-27,RMA,cache,1,6845.0,2511.0,2393.0,6013.77,0.0,1.0,294.0,3.84,0.01,6918.75,1869.87,1022.98,846.89,5717.51,5717.51,416.85,11465.84,411.18,720.24,8719.69,8719.69,1200.78,2887.4,676.79,15531.14,14409.48,16134.09,489.87,503.57,14597.99,1878.21,12467.59,27938.32,14432.16,8155.42,414.1,393.69,780.86,18930.57,309.91,655.27,492.0,395.79,12833.28,652.05,155.43,1536.93,621.27,1227.9,390.76,551.19,12724.61,567.78,88.38
2013-10-28,RMA,cache,1,5231.0,2642.0,2668.0,4157.38,0.0,1.0,295.0,4.87,0.08,5276.49,1860.02,1093.11,766.91,6059.78,6059.78,444.32,11181.0,312.02,800.71,9414.76,9414.76,1275.56,3488.47,773.21,16453.57,14855.91,17026.89,533.86,549.88,14659.13,2092.66,13435.03,28980.08,15108.09,8165.08,440.91,392.71,707.28,20149.56,324.58,653.76,479.66,453.52,13052.06,861.38,161.15,1855.03,580.34,1425.64,308.48,501.86,13084.47,529.86,89.38
2013-10-29,RMA,cache,1,7697.0,2671.0,2192.0,7168.77,0.0,1.0,248.0,5.45,0.18,7731.83,1808.17,1042.06,766.11,5947.3,5947.3,460.76,10779.29,293.23,871.13,9479.26,9479.26,1315.77,3535.49,833.9,16963.83,15429.19,17625.72,570.21,589.07,14932.37,2067.76,13702.94,29120.23,15425.44,8505.12,456.54,405.63,539.02,20499.91,339.45,605.8,468.01,463.14,13182.9,870.58,165.71,1950.97,592.08,1508.3,292.86,482.79,13291.55,537.25,89.65
2013-10-30,RMA,cache,1,7672.0,2575.0,1755.0,7696.72,0.0,1.0,223.0,5.79,0.22,8030.13,1921.85,1153.41,768.44,5854.19,5854.19,479.37,10517.68,265.93,922.93,9487.72,9487.72,1350.32,3455.95,876.16,17279.56,15871.71,17979.17,611.43,633.08,15238.81,2041.28,13884.88,29249.63,15583.01,8404.69,474.03,416.47,405.24,20766.19,352.91,534.12,457.88,472.52,13280.78,845.44,164.03,1927.41,549.78,1521.3,263.56,473.79,13407.1,488.95,89.5
2013-10-31,RMA,cache,1,8032.0,2306.0,2843.0,6354.58,0.0,1.0,242.0,5.65,0.11,8200.99,2103.09,1309.42,793.67,5589.47,5589.47,508.97,10279.8,239.23,960.92,9222.0,9222.0,1367.47,3184.03,905.29,17330.92,16109.92,18117.95,653.7,676.09,15479.2,1963.41,13728.89,28988.58,15521.56,8281.05,502.35,423.44,372.39,20618.81,364.2,478.28,452.5,468.52,13321.87,748.14,159.87,1808.27,488.89,1479.54,238.73,449.99,13380.45,427.33,89.25
2013-11-01,RMA,cache,1,8613.0,2012.0,4843.0,4644.63,1.0,1.0,283.0,5.19,0.04,8776.06,1960.66,1300.42,660.24,5294.0,5294.0,547.04,10044.28,234.44,986.55,8864.35,8864.35,1373.13,2878.38,920.29,17210.0,16151.37,18072.82,694.87,716.93,15618.01,1876.58,13466.09,28668.94,15368.65,7959.48,539.29,433.52,355.91,20377.27,373.03,451.37,452.67,453.58,13290.6,661.35,165.83,1641.84,447.59,1401.3,246.58,422.3,13271.41,394.75,88.67
2013-11-02,RMA,cache,1,8900.0,1739.0,3412.0,4361.91,1.0,1.0,347.0,4.32,0.03,9006.61,3569.84,2971.7,598.14,5100.39,5100.39,586.64,9801.7,247.49,1003.69,8622.72,8622.72,1376.87,2671.14,929.29,17039.02,16076.26,17996.49,730.75,752.03,15670.0,1815.21,13331.42,28550.73,15199.45,7686.49,578.48,448.84,340.86,20261.28,379.24,437.36,458.44,443.39,13263.49,604.58,174.01,1521.94,418.62,1341.67,278.75,405.16,13133.86,396.44,88.28
2013-11-03,RMA,cache,1,9107.0,1578.0,3870.0,4009.8,1.0,1.0,423.0,3.44,-0.03,9212.59,3505.85,2910.79,595.06,4893.78,4893.78,637.81,9515.7,271.65,1014.06,8447.93,8447.93,1380.28,2488.17,920.47,16844.54,15961.95,17954.74,773.88,793.88,15669.59,1763.42,13169.16,28426.86,14985.89,7586.17,629.69,474.33,330.44,20120.98,382.43,427.77,468.22,439.41,13228.19,551.29,176.35,1434.66,409.7,1299.4,326.9,396.42,12978.68,405.01,87.97
2013-11-04,RMA,cache,1,10017.0,1430.0,3965.0,5008.81,1.0,1.0,486.0,2.67,0.0,10143.71,3146.29,2599.9,546.39,4616.53,4616.53,693.46,9234.63,307.09,1016.72,8215.8,8215.8,1376.21,2317.52,874.76,16633.96,15828.63,17942.95,812.3,829.82,15633.69,1689.17,12895.55,28211.62,14755.27,7579.18,685.54,510.77,325.16,19922.55,381.44,419.78,479.25,434.41,13152.48,504.26,174.09,1343.85,407.49,1249.86,387.87,396.5,12812.14,419.43,87.41
2013-11-05,RMA,cache,1,9947.0,1343.0,4954.0,3707.64,1.0,1.0,554.0,2.13,0.13,10070.56,3340.17,2751.92,588.25,4585.16,4585.16,749.15,9052.12,347.86,1026.28,8272.8,8272.8,1378.01,2309.96,859.2,16530.62,15716.86,18020.09,825.42,839.32,15588.06,1681.77,12954.15,28377.16,14619.19,7567.25,742.79,563.79,331.76,20062.7,377.95,415.45,491.53,442.17,13072.62,490.98,169.5,1313.32,429.89,1236.49,451.32,404.73,12697.19,460.18,87.12
2013-11-06,RMA,cache,1,9531.0,1277.0,5040.0,3275.46,1.0,1.0,604.0,1.87,0.24,9898.21,3434.75,2859.75,575.0,4784.13,4784.13,771.74,8910.42,382.16,1047.12,8467.74,8467.74,1389.2,2357.3,905.04,16524.57,15666.2,18194.84,821.22,835.06,15554.46,1729.84,13186.26,28664.38,14505.64,7741.55,767.99,610.5,354.82,20336.5,380.39,414.56,505.14,456.79,13013.22,489.04,165.07,1331.64,465.23,1261.35,511.6,412.65,12618.19,501.88,87.22
2013-11-07,RMA,cache,1,9395.0,1221.0,5069.0,2855.43,1.0,1.0,622.0,1.82,0.2,9602.94,3433.52,2899.51,534.01,4979.37,4979.37,775.54,8770.98,412.78,1070.07,8612.13,8612.13,1407.62,2360.95,941.6,16565.33,15659.87,18388.0,828.47,844.76,15535.57,1788.05,13356.17,28764.96,14392.17,7976.84,773.44,642.81,392.54,20491.49,387.87,414.77,523.29,479.37,12950.18,483.01,161.84,1351.51,499.81,1285.27,566.73,416.81,12525.24,541.84,87.41
2013-11-08,RMA,cache,1,9192.0,1170.0,5663.0,1901.21,1.0,1.0,652.0,1.94,0.13,9351.18,3522.09,2956.97,565.12,5207.38,5207.38,779.37,8693.46,440.52,1097.91,8773.64,8773.64,1437.42,2375.48,974.85,16697.91,15661.16,18553.59,842.81,861.46,15522.66,1872.58,13605.29,28912.99,14440.15,8152.95,777.86,663.15,437.64,20697.09,398.15,415.52,546.29,509.12,12862.73,482.34,160.53,1365.72,534.74,1295.45,604.95,424.97,12413.04,574.23,87.47
2013-11-09,RMA,cache,1,9443.0,1131.0,4982.0,2701.45,1.0,1.0,689.0,2.26,0.12,9544.3,3547.82,2991.85,555.97,5480.28,5480.28,787.31,8713.59,464.12,1128.97,9042.23,9042.23,1472.64,2489.1,1005.64,16904.4,15679.24,18753.34,861.1,880.98,15514.42,1979.01,13993.48,29216.94,14626.14,8332.52,785.47,674.64,485.11,21065.69,411.06,416.93,572.93,542.16,12751.88,504.25,159.9,1408.44,559.17,1320.17,628.61,434.0,12342.06,591.91,87.93
2013-11-10,RMA,cache,1,9277.0,1096.0,5170.0,2240.23,1.0,1.0,738.0,2.66,0.02,9391.45,3623.0,3077.22,545.78,5630.44,5630.44,800.2,8764.92,487.61,1157.63,9139.51,9139.51,1505.08,2517.01,1033.81,17086.43,15722.88,18910.48,879.86,900.12,15518.81,2048.14,14181.94,29314.36,14780.03,8518.2,797.93,681.65,531.49,21257.47,423.91,417.94,601.55,563.87,12652.86,505.65,161.6,1429.98,572.8,1346.72,656.47,439.94,12285.88,603.0,88.19
2013-11-11,RMA,cache,1,9021.0,1080.0,5167.0,1925.96,1.0,1.0,735.0,2.93,0.02,9151.44,3632.65,3138.48,494.17,5839.4,5839.4,815.86,8883.9,508.4,1190.1,9422.01,9422.01,1543.18,2640.84,1067.38,17319.36,15801.28,19059.93,901.62,922.44,15544.76,2143.13,14529.16,29614.11,15031.83,8559.22,813.19,688.36,567.99,21581.75,438.31,419.15,630.23,595.93,12596.49,531.01,165.19,1477.15,584.27,1386.96,690.92,442.37,12290.88,611.49,88.54
2013-11-12,RMA,cache,1,9043.0,1080.0,4485.0,2550.0,1.0,1.0,744.0,3.1,0.01,9172.35,3743.9,3217.36,526.54,5966.0,5966.0,831.49,9017.73,535.12,1223.2,9601.65,9601.65,1578.66,2721.84,1101.43,17499.63,15934.03,19212.37,922.62,943.57,15605.94,2194.16,14756.08,29815.34,15215.38,8739.74,827.98,697.07,597.08,21797.14,452.65,420.07,656.9,614.13,12598.55,547.77,170.59,1530.91,593.31,1444.54,723.44,443.8,12344.7,618.66,88.88
2013-11-13,RMA,cache,1,8722.0,1069.0,4593.0,2004.7,1.0,1.0,744.0,3.18,-0.03,8835.1,3817.33,3306.4,510.93,6036.45,6036.45,850.54,9131.68,564.19,1256.35,9718.08,9718.08,1617.15,2761.64,1137.02,17623.49,16074.2,19329.87,947.82,969.37,15690.37,2228.33,14901.24,29926.58,15336.46,8812.78,846.43,706.92,625.83,21933.83,465.5,420.77,684.64,627.66,12640.96,554.12,175.29,1564.64,600.76,1488.42,735.97,446.74,12400.27,626.8,89.07
2013-11-14,RMA,cache,1,8532.0,1065.0,4589.0,1620.29,1.0,1.0,737.0,3.16,0.0,8639.56,4062.35,3495.27,567.08,6255.31,6255.31,877.3,9281.39,579.02,1297.06,10069.92,10069.92,1668.8,2930.47,1184.51,17822.15,16216.52,19477.97,979.59,1001.92,15793.46,2315.79,15275.27,30288.56,15542.72,8897.04,872.72,719.91,656.32,22287.37,480.2,421.63,716.42,658.88,12731.52,587.19,183.41,1628.81,602.04,1545.87,740.34,450.41,12493.63,636.48,89.32
2013-11-15,RMA,cache,1,8337.0,1060.0,5207.0,863.84,1.0,1.0,718.0,3.08,-0.04,8431.97,3914.14,3421.13,493.01,6443.5,6443.5,907.34,9389.71,582.25,1343.87,10419.61,10419.61,1726.75,3064.66,1233.88,17954.51,16387.3,19640.63,1017.9,1041.17,15919.79,2397.69,15599.8,30542.04,15651.41,9202.75,902.13,737.63,679.61,22566.79,497.16,422.56,738.77,686.78,12842.53,604.14,188.72,1716.11,619.95,1633.17,739.62,453.57,12581.98,649.31,89.98
2013-11-16,RMA,cache,1,8444.0,1040.0,4110.0,1981.3,1.0,1.0,718.0,2.84,-0.06,8498.46,3964.32,3447.16,517.16,6367.76,6367.76,931.17,9480.98,601.82,1382.77,10418.84,10418.84,1769.42,3021.49,1264.52,17988.13,16507.22,19791.49,1051.36,1075.25,16035.92,2394.95,15584.65,30490.92,15696.2,9518.06,924.7,755.29,699.48,22575.1,509.99,423.11,757.5,679.67,12926.5,587.03,188.7,1729.62,639.05,1672.26,734.12,458.07,12623.09,663.23,90.08
2013-11-17,RMA,cache,1,8397.0,1042.0,3559.0,2544.63,1.0,1.0,724.0,2.57,-0.01,8479.38,3901.59,3417.75,483.84,6422.86,6422.86,957.32,9632.63,621.03,1417.47,10506.2,10506.2,1810.75,3026.1,1297.77,18062.76,16601.84,19959.14,1081.3,1105.65,16141.79,2429.34,15719.72,30633.43,15795.73,9589.24,949.87,770.14,714.23,22725.57,520.59,423.56,776.31,685.94,13009.71,583.39,189.99,1721.36,649.77,1686.53,724.33,466.5,12685.66,678.02,90.27
2013-11-18,RMA,cache,1,8521.0,1044.0,4057.0,2216.01,1.0,1.0,718.0,2.27,-0.03,8609.37,3863.47,3380.37,483.1,6412.51,6412.51,986.13,9769.5,633.54,1448.31,10507.84,10507.84,1845.57,2966.08,1329.38,18047.44,16679.47,20127.4,1110.19,1135.22,16230.97,2451.34,15727.66,30633.89,15780.41,9751.63,978.45,785.25,723.18,22748.42,528.89,424.0,795.87,687.75,13093.52,562.97,194.67,1709.71,657.65,1699.09,720.99,476.24,12722.8,688.39,90.44
2013-11-19,RMA,cache,1,8283.0,1046.0,4027.0,2124.73,1.0,1.0,705.0,2.03,-0.09,8391.05,3761.52,3285.32,476.2,6314.14,6314.14,1013.92,9878.29,643.96,1478.82,10438.76,10438.76,1874.17,2855.23,1358.52,18002.68,16711.78,20241.21,1136.36,1162.23,16296.53,2452.89,15606.85,30515.0,15718.19,9835.96,1006.39,802.64,726.94,22656.97,536.06,424.31,816.64,680.36,13113.53,534.6,193.6,1682.42,660.63,1703.69,722.51,484.08,12740.41,699.17,90.41
2013-11-20,RMA,cache,1,8360.0,1048.0,4789.0,2338.18,1.0,1.0,716.0,1.88,-0.02,8508.38,2641.01,2429.21,211.8,6370.89,6370.89,1036.5,9971.8,652.89,1514.61,10470.32,10470.32,1901.7,2829.22,1393.72,17957.94,16404.5,20360.59,1156.81,1183.51,16336.95,2488.51,15652.85,30594.5,15650.86,9849.47,1029.28,818.55,730.92,22756.6,545.24,424.41,839.45,685.33,12903.41,523.85,196.2,1670.08,676.35,1718.58,719.48,493.32,12761.77,712.68,90.28
2013-11-21,RMA,cache,1,8525.0,1092.0,2631.0,6536.72,1.0,1.0,695.0,1.86,0.01,8790.03,539.95,714.32,-174.37,6183.04,6183.04,1058.73,9943.03,673.89,1504.43,10479.75,10479.75,1908.43,2780.53,1261.2,17834.64,15453.57,20414.14,1190.77,1214.89,16238.56,2444.36,15466.29,30448.59,15366.78,9854.76,1050.8,834.43,739.94,22575.23,541.49,425.85,865.83,720.59,12005.02,514.03,202.33,1653.07,697.42,1727.32,716.57,506.17,12698.55,720.2,90.33
2013-11-22,RMA,cache,1,9644.0,1307.0,2429.0,8906.41,1.0,1.0,658.0,2.05,0.0,9954.11,-370.72,-74.3,-296.42,5498.44,5498.44,1104.32,9804.77,701.88,1438.76,9966.35,9966.35,1859.89,2548.49,976.56,17500.97,14556.67,20080.9,1147.35,1153.23,15523.46,2238.82,14688.55,29637.01,15022.07,9864.89,1097.04,859.36,748.37,21833.24,507.49,430.44,894.21,722.71,10233.54,491.28,206.61,1612.37,701.84,1686.28,717.51,523.43,12466.31,724.76,89.75
