datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_delta,cu_total,cu_suisun,trp,wci,vcu,vcu.1,uni,rsl,rsl.1,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,mrz,oh4,mtz,god,gzl,frk,bac,hol,ori,model_out_sf_tidal_filter,model_out_sf_tidal_energy
2014-01-31,SCHISM,base,3,6379.28,6015.48,1229.16,4200.74,3983.42,1.0,1.0,2.39,0.15,88.8,116.8,692.53,1369.49,1369.49,760.16,826.48,803.44,803.44,933.2,560.54,560.54,976.64,15012.89,7826.4,3953.37,962.37,221.16,1686.87,455.5,323.5,479.58,957.07,954.83,182.98,4871.83,541.88,4046.83,3926.58,5218.2,447.67,171.47,534.53,1695.35,3953.74,22967.12,813.73,8341.12,9699.58,12513.35,556.77,839.21,761.81,827.92,2.39,2.29
2014-02-01,SCHISM,base,3,6771.58,6361.14,1190.88,4212.09,3494.27,1.0,1.0,2.0,0.13,87.6,142.4,-113.7,458.73,458.73,760.16,821.54,799.74,799.74,890.88,560.54,560.54,976.64,14199.59,7141.48,3508.83,819.49,210.54,1435.2,439.62,308.49,502.14,957.07,891.09,186.02,4912.08,556.98,4032.53,3830.11,5165.4,426.27,192.1,490.55,1443.36,3508.27,22779.56,807.56,7981.62,9350.03,12229.45,570.18,838.39,780.99,824.01,2.37,1.9
2014-02-02,SCHISM,base,3,6999.18,6631.88,1175.35,4258.14,3453.23,1.0,1.0,1.68,0.08,87.6,98.1,-365.06,37.67,37.67,760.16,824.42,799.74,799.74,923.4,560.54,560.54,978.47,12625.69,6037.66,2475.87,627.83,202.52,1087.3,424.99,289.15,538.73,957.07,911.95,186.24,4940.23,579.39,3974.38,3463.78,5060.76,396.53,192.1,418.2,1092.16,2475.29,22384.07,793.97,7427.91,8356.34,11706.38,594.44,827.92,812.29,824.83,2.32,1.54
2014-02-03,SCHISM,base,3,6677.35,6343.61,1174.71,4217.7,3255.87,1.0,1.0,1.47,0.09,87.6,101.2,-277.3,139.35,139.35,760.16,818.25,806.53,806.53,931.36,560.54,560.54,983.76,13405.71,5844.79,2509.7,539.78,205.12,1046.16,422.87,310.85,546.7,957.07,917.88,187.76,4958.88,581.69,3932.16,2542.93,4973.68,378.22,192.1,378.43,1049.2,2509.13,22881.43,798.71,7374.7,8393.94,11056.33,614.28,819.49,811.88,820.31,2.32,1.34
2014-02-04,SCHISM,base,3,6193.32,5888.84,1193.73,4200.86,2915.49,1.0,1.0,1.32,0.26,88.0,101.1,-169.61,340.89,340.89,760.16,804.47,796.65,796.65,917.88,560.54,560.54,969.1,13081.8,5447.11,2267.17,467.33,205.99,918.08,420.32,310.42,562.22,957.07,917.88,192.1,4929.08,594.03,3804.57,2611.21,4913.18,367.77,192.1,354.74,922.58,2266.97,23325.63,790.88,6938.02,8048.15,10563.55,633.88,819.49,818.05,804.68,2.45,1.27
2014-02-05,SCHISM,base,3,6246.76,5764.22,1214.53,4256.52,2910.16,1.0,1.0,1.34,0.31,87.0,80.2,-214.41,211.36,211.36,760.16,797.06,791.7,791.7,915.02,560.54,560.54,958.7,12971.03,5385.78,2253.04,427.96,206.21,880.03,418.41,311.71,571.23,945.85,913.59,192.1,4878.79,601.76,3478.8,2345.82,4858.47,366.06,192.1,341.28,883.3,2252.46,23826.47,789.03,6662.9,7935.06,10424.6,648.87,819.49,814.35,796.65,2.52,1.29
2014-02-06,SCHISM,base,3,6512.63,5778.32,1206.1,4244.15,2695.7,1.0,1.0,1.61,0.16,87.2,32.6,-746.28,-634.06,-634.06,760.16,801.79,779.96,779.96,898.86,560.54,560.54,955.44,11546.19,4466.98,1575.21,360.08,202.95,710.94,415.87,304.41,611.78,924.01,898.25,201.0,4838.89,630.13,3070.33,2336.36,4813.25,376.51,192.1,338.92,713.43,1574.82,22380.59,785.73,6130.94,7058.45,10215.07,685.23,808.59,818.67,803.85,2.4,1.46
2014-02-07,SCHISM,base,3,6435.93,5849.84,1206.0,4224.37,2030.33,1.0,1.0,1.92,0.02,87.2,-8.0,-1395.23,-1325.78,-1325.78,760.16,800.77,792.73,792.73,898.25,560.54,560.54,953.4,11763.18,4424.59,1422.84,323.08,212.93,695.81,419.26,339.14,632.0,917.88,891.29,210.11,4804.64,632.84,2841.61,1524.66,4717.38,369.69,192.1,329.72,697.68,1422.64,22829.07,793.35,5890.58,6917.04,9969.68,720.67,803.44,819.49,799.74,2.3,1.79
2014-02-08,SCHISM,base,3,6830.36,6182.97,1239.78,4205.67,606.15,1.0,1.0,2.37,-0.03,87.4,-14.0,-3272.32,-3384.83,-3384.83,760.16,801.38,794.59,794.59,888.22,572.27,572.27,954.42,11849.93,4473.25,1372.97,293.02,215.96,718.81,426.48,355.39,644.91,911.54,878.18,222.89,4748.92,634.5,2576.89,1291.14,4560.5,375.87,192.1,328.86,721.5,1371.97,22358.71,791.91,5571.6,6657.55,9685.43,752.31,799.74,819.49,800.77,2.29,2.23
2014-02-09,SCHISM,base,3,10231.29,7401.17,1285.33,4466.26,1996.55,1.0,1.0,2.97,0.03,87.4,0.0,-5053.81,-5454.13,-5454.13,760.16,798.91,786.14,786.14,885.35,705.56,705.56,957.07,11347.02,4200.69,1339.19,284.63,222.89,676.31,438.98,340.42,652.41,905.41,876.75,241.71,4714.26,665.71,2269.88,1157.83,4401.17,387.38,197.31,330.15,679.21,1337.79,20824.72,791.7,5338.02,6382.53,9383.44,752.93,799.74,816.81,802.0,2.33,2.78
2014-02-10,SCHISM,base,3,13001.68,9763.78,1333.48,4764.6,4529.44,1.0,1.0,3.57,0.06,86.4,20.6,-5020.51,-5337.05,-5337.05,760.16,798.09,783.67,783.67,898.66,943.41,943.41,955.24,10565.95,3950.77,1243.58,283.34,233.71,647.41,462.05,336.14,642.83,898.25,881.87,247.76,4687.1,691.46,2033.02,978.88,4219.94,399.72,212.93,334.86,649.08,1243.58,19756.49,793.15,5255.86,6221.24,9008.67,758.71,803.44,817.64,799.53,2.33,3.38
2014-02-11,SCHISM,base,3,16642.56,15037.09,1361.29,6062.01,7416.71,1.0,1.0,4.2,-0.05,85.6,32.6,-4492.53,-4584.79,-4584.79,760.16,799.94,786.55,786.55,933.81,1095.39,1095.39,940.55,9423.77,3386.15,1043.52,281.62,239.55,603.01,492.03,349.62,650.12,898.25,917.47,265.24,4643.58,716.33,1839.09,828.53,4075.22,417.57,212.93,347.69,603.63,1042.91,18479.58,792.32,5055.65,5999.7,8364.91,764.9,804.47,819.49,799.32,2.22,3.96
2014-02-12,SCHISM,base,3,21436.92,20344.59,1368.79,8652.2,10294.53,1.0,1.0,4.78,-0.08,84.0,7.5,-3851.48,-3882.68,-3882.68,760.16,796.03,792.32,792.32,946.87,1112.99,1112.99,937.49,9183.83,3263.33,1057.92,290.01,254.46,619.08,506.98,373.95,650.95,898.25,937.89,258.56,4558.48,719.43,1716.63,709.49,3897.55,422.45,212.49,350.04,620.12,1057.51,18240.88,784.08,4985.19,5914.54,7504.93,765.11,807.56,819.49,794.38,2.17,4.46
2014-02-13,SCHISM,base,3,24243.03,23272.59,1363.93,10105.81,13525.82,1.0,1.0,4.85,-0.13,83.4,7.9,-1967.44,-1770.93,-1770.93,760.16,794.79,789.23,789.23,992.72,1112.99,1112.99,937.49,8558.16,2998.66,960.54,307.63,258.99,612.82,520.03,385.25,657.81,898.25,980.1,252.3,4365.01,721.5,1590.26,703.48,3795.62,429.87,189.06,360.94,613.65,960.95,17798.89,781.81,4718.48,5505.49,6995.59,765.73,806.32,819.49,791.5,2.13,4.55
2014-02-14,SCHISM,base,3,23072.47,22181.63,1341.59,9660.37,14505.73,1.0,1.0,4.63,-0.07,83.0,32.3,-215.67,398.35,398.35,760.16,790.06,789.23,789.23,996.18,1112.99,1112.99,954.01,8698.57,3011.75,973.38,318.57,262.66,632.84,524.65,404.61,659.48,898.25,989.67,244.74,4087.1,714.26,1477.78,685.44,3637.74,428.6,171.25,360.3,633.04,973.17,17861.96,780.99,4602.42,5228.57,6538.65,762.84,803.24,819.49,786.35,2.22,4.3
2014-02-15,SCHISM,base,3,19037.65,18277.82,1313.94,8760.47,11404.86,1.0,1.0,4.1,0.03,82.4,69.5,-116.76,488.13,488.13,760.16,785.52,791.91,791.91,1028.29,1112.99,1112.99,957.07,9059.22,3126.94,993.13,336.57,263.52,649.91,524.44,410.56,663.22,914.0,1015.9,233.71,3861.61,704.52,1370.57,752.72,3427.71,429.66,182.11,363.93,650.53,993.33,18091.14,778.52,4481.72,5041.78,6349.58,760.98,799.74,819.49,780.99,2.33,3.76
2014-02-16,SCHISM,base,3,15761.42,15110.53,1274.51,8833.96,8068.82,1.0,1.0,3.49,0.04,82.4,139.0,5.85,639.34,639.34,760.16,787.38,792.12,792.12,1036.82,1112.99,1112.99,974.6,8389.22,2825.42,909.29,334.64,249.71,632.21,526.97,405.25,664.67,919.92,1035.2,233.71,3631.76,716.33,1217.45,807.56,3243.34,435.59,192.1,369.05,632.84,909.29,17391.11,779.13,4148.83,4851.52,6266.25,759.33,799.74,816.81,778.93,2.36,3.19
2014-02-17,SCHISM,base,3,14511.41,13888.43,1232.36,9250.15,6358.72,1.0,1.0,2.89,0.09,82.2,97.9,-37.0,591.7,591.7,760.16,792.73,792.12,792.12,1036.42,1112.99,1112.99,993.53,8165.84,2697.91,891.7,333.79,242.36,628.25,534.32,396.53,670.08,939.32,1026.87,230.9,3468.47,720.05,1143.7,795.82,3027.3,437.08,186.02,370.11,628.88,892.11,17235.71,781.2,3949.09,4562.52,5973.61,758.09,794.38,808.59,785.94,2.38,2.67
2014-02-18,SCHISM,base,3,14064.64,13468.87,1204.1,9225.33,5908.42,1.0,1.0,2.46,0.11,82.2,109.7,-25.29,612.73,612.73,760.16,794.18,793.56,793.56,1024.03,1112.99,1112.99,1009.19,7826.23,2409.65,810.85,325.22,239.12,607.18,537.47,376.51,683.78,959.11,1023.42,223.33,3213.32,732.05,1084.26,791.91,2822.18,452.11,216.39,375.66,607.39,811.67,17037.04,787.38,3566.96,4248.43,5735.6,762.22,790.67,799.74,787.17,2.41,2.26
2014-02-19,SCHISM,base,3,11919.76,11411.51,1169.47,8622.19,4323.96,1.0,1.0,2.32,0.05,82.0,107.9,-35.18,591.88,591.88,760.16,794.18,804.47,804.47,1031.14,1112.99,1112.99,1023.62,7736.11,2280.32,770.47,311.71,236.31,596.74,543.14,399.29,681.5,975.82,1023.22,205.12,2957.65,741.98,1037.63,735.57,2647.21,456.98,212.93,377.15,597.16,770.47,17169.46,789.23,3251.83,4022.69,5590.42,765.52,797.27,799.74,788.61,2.36,2.13
2014-02-20,SCHISM,base,3,10794.68,10370.74,1111.54,7467.04,4324.94,1.0,1.0,2.47,-0.09,82.4,93.0,-21.24,627.46,627.46,760.16,803.65,800.15,800.15,1014.48,1112.99,1112.99,1033.98,7290.48,2056.2,652.2,300.54,233.93,579.39,548.38,367.77,691.67,1001.87,1015.7,196.88,2737.66,754.79,987.43,696.85,2560.78,458.24,212.93,383.97,579.39,651.99,16884.09,797.47,2971.32,3729.91,5494.61,767.58,799.74,799.74,796.65,2.2,2.23
2014-02-21,SCHISM,base,3,11270.86,10874.09,1054.79,6603.15,5626.03,1.0,1.0,2.75,-0.16,83.2,96.3,-0.16,678.97,678.97,760.16,803.65,815.58,815.58,993.13,1112.99,1112.99,1035.2,7404.58,2042.37,609.69,296.03,238.9,576.04,550.48,369.69,696.85,1012.24,996.79,192.1,2534.86,754.99,956.26,576.67,2445.66,449.99,212.93,377.36,575.83,609.27,16972.68,803.03,2876.84,3541.09,5443.3,768.2,799.74,799.74,795.62,2.13,2.49
2014-02-22,SCHISM,base,3,10841.19,10463.15,1006.82,6349.91,5430.11,1.0,1.0,3.17,-0.05,84.4,71.0,3.01,685.23,685.23,760.16,794.38,812.08,812.08,964.0,1112.99,1112.99,1035.2,8256.94,2382.28,691.04,290.87,243.87,590.68,545.86,389.72,685.03,1015.7,960.74,195.79,2363.38,745.9,934.02,537.89,2301.78,438.14,212.93,360.72,591.1,690.84,17659.82,793.56,3015.17,3625.39,5519.26,766.35,799.74,799.74,790.47,2.22,2.93
2014-02-23,SCHISM,base,3,10238.04,9858.7,1227.2,5744.09,5669.0,1.0,1.0,3.57,0.08,84.8,72.1,19.96,696.39,696.39,760.16,790.47,808.59,808.59,948.71,1112.99,1112.99,1035.2,8950.79,2807.31,858.3,295.39,245.6,621.79,538.94,395.46,675.27,1015.7,953.61,211.19,2229.42,736.4,909.5,576.67,2262.52,433.47,202.3,356.03,621.58,857.69,18444.76,784.49,3260.32,3949.65,5810.7,759.54,799.74,799.74,785.52,2.33,3.26
2014-02-24,SCHISM,base,3,9596.23,9224.7,1465.18,5126.66,5893.98,1.0,1.0,3.9,0.03,86.2,129.6,88.83,779.5,779.5,760.16,791.7,808.79,808.79,889.86,1112.99,1112.99,1035.2,8557.81,2771.45,814.76,302.05,243.66,623.25,540.2,385.25,678.8,1015.7,898.25,214.44,2199.58,740.74,868.96,637.21,2317.43,440.26,212.93,366.49,623.46,814.55,18172.92,785.52,3351.9,3988.13,6055.1,756.65,799.74,799.74,787.58,2.33,3.59
2014-02-25,SCHISM,base,3,9151.96,8804.96,1461.74,5063.93,5489.67,1.0,1.0,4.0,-0.04,85.0,110.1,50.0,694.35,694.35,760.16,791.91,812.29,812.29,859.53,1122.09,1122.09,1023.01,9356.26,3137.91,1025.45,315.36,244.52,650.53,535.79,405.88,663.22,1014.48,858.71,216.39,2333.27,724.19,875.52,662.18,2272.58,426.48,216.18,352.82,650.74,1025.86,17876.75,783.67,3770.43,4341.19,6036.4,751.48,799.74,799.74,785.94,2.34,3.5
2014-02-26,SCHISM,base,3,8819.1,8480.41,1463.84,5155.75,4658.54,1.0,1.0,3.93,-0.07,85.4,125.7,-342.95,-148.28,-148.28,760.16,803.65,809.62,809.62,840.24,1125.12,1125.12,989.87,7882.33,2557.51,686.48,304.41,241.71,608.85,538.31,392.27,693.32,991.7,839.21,220.29,2349.49,735.16,847.84,754.79,2275.49,456.13,228.95,379.71,609.69,686.89,17434.95,788.0,3388.22,4164.39,5975.23,758.09,799.74,799.74,796.03,2.25,3.54
2014-02-27,SCHISM,base,3,8828.55,8416.17,1473.52,5153.49,4654.29,1.0,1.0,3.67,0.05,84.2,121.4,-372.89,-139.98,-139.98,760.16,794.59,811.26,811.26,839.21,1112.99,1112.99,954.01,8116.4,2570.56,714.05,312.35,244.74,623.67,539.36,401.84,688.55,968.49,836.54,220.73,2404.26,724.61,863.63,575.2,2203.26,437.71,200.35,364.14,624.29,714.67,17393.88,790.06,3384.46,3967.69,5492.8,764.9,799.74,799.74,785.94,2.33,3.28
