datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_delta,cu_total,cu_suisun,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,mrz,oh4,rsl.1,vcu.1,mtz,god,gzl,frk,bac,hol,ori,model_out_sf_tidal_filter,model_out_sf_tidal_energy
2009-10-29,SCHISM,base,7,12335.26,11873.22,2348.66,6868.43,8320.96,0.0,0.0,1.76,-0.17,89.0,63.5,568.97,2019.31,2019.31,683.78,606.98,607.39,681.91,520.24,839.21,17436.58,11477.91,9599.95,2471.45,393.12,6910.46,1894.35,296.68,260.28,574.99,700.58,332.07,13366.71,950.75,12499.36,9928.7,11884.99,1236.15,171.25,1469.63,6920.59,9599.95,23789.16,389.29,520.24,607.39,11679.58,14624.65,14267.97,474.94,401.42,445.97,619.5,-0.09,-2.38
2009-10-30,SCHISM,base,7,11801.07,11299.96,2218.05,6130.5,8438.25,0.0,0.0,2.17,-0.15,88.8,49.9,599.52,2046.8,2046.8,595.91,424.78,372.46,652.41,520.24,838.39,17688.62,11878.89,8847.65,2688.92,412.68,6759.17,2263.1,361.36,287.21,621.37,695.61,327.79,12234.35,1084.46,12149.05,9836.53,11850.27,1464.86,179.29,1724.12,6773.77,8847.47,26404.49,359.66,520.24,372.46,12733.73,13671.9,15041.35,463.95,430.51,450.84,497.3,-0.22,-1.09
2009-10-31,SCHISM,base,7,11944.29,11389.68,2068.14,6783.51,7727.49,0.0,0.0,2.69,-0.13,88.8,41.2,539.77,1991.71,1991.71,486.75,363.93,330.36,481.9,517.08,818.87,18952.08,12128.43,8691.94,2583.03,351.97,6675.39,2564.04,449.99,317.5,651.78,578.13,316.43,11842.14,1247.2,12006.01,9711.49,11919.53,1570.86,568.08,1720.38,6690.37,8691.42,27787.27,381.63,517.08,330.36,13602.9,14063.23,15553.05,459.09,433.26,457.61,387.16,-0.18,-0.6
2009-11-01,SCHISM,base,7,11933.06,11392.7,1880.3,6934.54,7772.62,0.0,0.0,3.4,-0.05,88.8,48.6,942.4,2073.48,2073.48,434.32,388.65,364.14,441.95,503.83,794.79,20024.81,12525.82,8715.12,2549.84,353.04,6658.08,2819.7,550.48,372.67,666.13,462.26,313.0,11904.29,1401.91,12002.79,9540.16,12193.65,1659.84,395.46,1684.9,6671.64,8714.08,28496.18,405.46,503.83,364.14,14322.85,14858.08,16224.0,497.08,429.45,464.16,387.38,-0.08,0.09
2009-11-02,SCHISM,base,7,11893.11,11416.19,1762.46,4428.1,10119.61,0.0,0.0,4.02,0.01,89.0,57.2,949.34,2075.62,2075.62,416.72,400.36,378.0,463.32,500.03,763.66,20953.17,13012.83,8858.09,2652.57,407.16,6638.46,2984.8,655.53,434.11,673.61,440.89,302.05,12133.33,1525.06,12062.33,9332.88,12579.89,1754.43,192.1,1716.83,6652.55,8856.52,29057.11,418.84,500.03,378.0,15049.63,15618.66,16912.37,581.69,428.39,474.73,405.03,-0.03,0.71
2009-11-03,SCHISM,base,7,11798.87,11348.31,1725.07,4362.77,10027.24,0.0,0.0,4.6,0.19,90.2,125.6,991.67,2092.97,2092.97,416.5,405.67,378.0,485.07,500.03,748.18,21460.13,13333.06,8927.5,2737.08,487.81,6515.78,2986.32,739.7,494.98,680.25,466.07,286.57,12399.9,1609.85,12149.89,9152.08,12992.18,1822.41,158.2,1805.34,6529.18,8924.71,29456.89,418.84,500.03,378.0,15693.96,16187.55,17487.57,677.97,435.17,492.03,406.31,0.15,1.2
2009-11-04,SCHISM,base,7,11421.36,10961.36,1660.56,4391.26,9470.19,0.0,0.0,4.87,0.31,89.2,68.6,848.13,1865.98,1865.98,414.38,411.41,371.61,512.03,496.24,728.33,22862.88,14651.03,9975.02,3369.59,606.77,6999.68,3244.66,895.38,587.34,677.97,481.69,274.73,12690.32,1819.86,12393.66,8946.27,13657.03,1968.64,150.37,2078.78,7012.11,9973.3,30349.47,418.84,496.24,371.61,16638.66,17273.72,18220.44,838.19,441.74,549.22,411.62,0.34,1.54
2009-11-05,SCHISM,base,7,11687.89,11202.48,1583.72,4357.29,9638.51,0.0,0.0,4.81,0.2,88.8,87.5,811.68,1802.83,1802.83,424.36,416.29,363.07,529.28,487.6,518.35,22268.77,13940.25,9297.2,3007.58,458.88,6540.26,3015.92,860.97,616.58,668.21,501.3,274.08,12975.39,1783.33,12236.38,9035.6,13790.62,2024.25,150.37,2039.84,6555.98,9294.95,30056.65,416.29,487.6,363.07,16810.33,17482.36,18885.73,928.09,458.67,577.5,417.57,0.23,1.54
2009-11-06,SCHISM,base,7,11853.22,11384.15,1543.54,3622.33,10418.15,0.0,0.0,4.48,0.09,87.8,165.2,808.92,1720.45,1720.45,429.02,423.51,357.52,529.28,482.54,520.24,21474.27,13476.16,8602.31,2708.81,394.61,6160.75,2854.94,838.39,640.96,635.13,520.24,295.17,13113.0,1783.73,12140.26,9178.62,13896.23,1837.13,150.37,1806.12,6173.86,8600.74,29222.08,416.5,482.54,357.52,16908.93,17499.46,18742.85,993.33,479.37,615.95,426.27,0.14,1.14
2009-11-07,SCHISM,base,7,12007.03,11343.48,1502.28,4448.48,9528.59,0.0,0.0,3.92,-0.06,86.2,142.1,609.86,1527.38,1527.38,435.38,419.26,357.52,552.16,479.79,523.39,20590.87,12695.71,8000.58,2186.2,317.07,5569.79,2625.96,821.75,642.62,615.11,526.34,311.71,13246.62,1747.35,11893.46,8627.6,13820.16,1692.39,141.01,1552.63,5580.65,7999.7,28192.68,422.66,479.79,357.52,16690.23,17526.99,18412.36,1042.3,508.88,661.56,426.9,-0.04,0.45
