datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_delta,cu_total,cu_suisun,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,mrz,oh4,rsl.1,vcu.1,mtz,god,gzl,frk,bac,hol,ori,model_out_sf_tidal_filter,model_out_sf_tidal_energy
2006-11-14,SCHISM,cache,4,13087.69,12526.58,2495.96,8771.78,5685.21,1.0,0.0,1.57,2.32,89.2,91.8,-1034.86,-362.48,-362.48,668.21,583.36,588.17,681.91,519.61,839.21,17645.66,11572.85,9638.81,2679.94,517.93,6900.85,1878.09,295.82,260.72,575.62,700.58,333.36,13512.45,946.06,12497.51,9930.08,11884.99,1248.4,171.25,1494.48,6910.28,9638.64,26169.42,388.23,519.61,588.17,11666.52,14623.82,14276.46,474.09,405.03,446.18,602.59,-0.1,-2.45
2006-11-15,SCHISM,cache,4,13690.02,13027.5,2505.84,9132.49,5996.34,1.0,0.0,1.64,2.17,89.2,49.3,-1017.73,-344.92,-344.92,514.35,379.71,348.97,715.5,500.03,839.21,18013.7,11918.01,8960.7,2959.55,551.53,6699.82,2212.37,343.42,288.51,639.71,708.04,319.0,12861.17,1066.23,12149.72,9862.38,11876.18,1435.79,182.98,1687.66,6715.15,8960.01,26817.86,376.72,500.03,348.97,12693.18,13699.46,15062.86,458.46,433.9,454.01,413.53,-0.21,-1.19
2006-11-16,SCHISM,cache,4,13804.65,13237.04,2482.46,9937.91,5668.24,1.0,0.0,1.82,2.27,89.0,13.8,-667.16,145.87,145.87,500.88,390.14,379.07,700.58,490.97,736.6,19128.9,12247.18,8857.05,2943.78,511.61,6627.4,2501.44,387.38,313.64,685.23,696.64,299.04,12070.11,1216.44,12009.56,9788.6,11938.66,1551.04,678.59,1734.16,6641.85,8856.35,27626.98,410.56,490.97,379.07,13624.29,14073.56,15751.78,447.24,422.66,458.88,375.66,-0.16,-0.58
2006-11-17,SCHISM,cache,4,13976.12,13400.91,2443.08,9780.94,5956.09,1.0,0.0,2.15,2.3,88.4,42.4,-639.77,182.21,182.21,475.78,411.41,388.65,700.58,479.79,707.63,20059.17,12691.16,8981.73,3004.73,538.73,6620.61,2740.9,429.23,355.39,700.58,700.58,256.4,11939.84,1363.78,11999.41,9712.35,12192.97,1672.87,233.71,1788.05,6635.07,8980.17,28244.81,418.84,479.79,388.65,14373.06,14920.52,16400.88,487.39,414.17,463.95,401.63,-0.07,0.07
2006-11-18,SCHISM,cache,4,13882.73,13100.86,2422.99,8647.98,7695.14,1.0,0.0,2.62,2.19,88.4,48.5,85.9,993.85,993.85,473.46,406.1,386.31,716.95,469.02,706.59,20796.34,13053.78,9051.75,3056.31,581.27,6577.23,2890.73,486.54,396.1,700.58,714.26,208.16,12096.99,1471.82,12041.87,9678.18,12534.58,1778.42,174.29,1833.01,6593.48,9050.71,28779.89,411.19,469.02,386.31,15038.54,15598.06,16998.16,578.97,413.74,479.37,403.97,-0.02,0.68
2006-11-19,SCHISM,cache,4,13496.65,12706.49,2373.94,9522.14,6818.58,1.0,0.0,3.22,2.22,88.8,71.0,541.14,1416.36,1416.36,466.49,400.57,372.67,720.47,459.51,720.47,21413.17,13473.81,9197.18,3177.43,657.4,6558.13,2984.04,598.0,456.13,677.35,720.47,212.71,12325.84,1581.95,12126.06,9684.39,12941.81,1859.09,192.1,1910.4,6573.84,9195.27,29201.96,401.63,459.51,372.67,15697.59,16192.31,17489.2,696.23,418.84,513.3,399.93,0.13,1.14
2006-11-20,SCHISM,cache,4,13380.6,12508.5,2355.74,10000.18,6216.68,1.0,0.0,3.77,2.23,89.4,66.2,546.72,1434.28,1434.28,459.94,394.83,363.5,738.05,451.69,722.95,22444.5,14374.89,9845.32,3672.35,799.32,6893.21,3231.45,692.29,529.49,658.64,738.26,304.2,12585.11,1736.33,12284.49,9612.73,13447.72,1995.77,192.1,2103.09,6908.32,9843.42,30223.67,404.82,451.69,363.5,16417.77,16874.44,18103.15,842.29,442.37,583.15,393.55,0.25,1.46
2006-11-21,SCHISM,cache,4,12995.92,12271.64,2329.75,10409.23,5452.58,1.0,0.0,4.17,2.28,89.6,103.9,640.04,1571.11,1571.11,512.46,435.59,367.77,754.99,439.2,747.35,22592.25,14474.08,9850.83,3610.79,749.0,6905.48,3263.71,698.09,583.99,647.2,740.32,299.25,12849.24,1826.73,12278.42,9717.35,13718.33,2102.51,179.29,2179.61,6920.06,9848.59,29887.68,422.45,439.2,367.77,16845.99,17355.25,18730.89,988.85,483.17,659.06,452.96,0.16,1.45
2006-11-22,SCHISM,cache,4,13081.17,12443.89,2316.41,9984.99,5921.11,1.0,0.0,4.33,2.23,89.0,314.8,823.32,1737.37,1737.37,530.75,474.09,376.94,756.85,439.2,758.09,21993.65,14245.68,9470.65,3362.07,687.72,6701.96,3210.11,707.42,623.87,663.84,754.79,229.17,13045.39,1869.67,12236.21,9940.93,13876.21,2043.15,169.07,2038.08,6716.57,9468.58,29255.24,448.94,439.2,376.94,17099.59,17587.39,18963.91,1122.49,540.62,750.45,484.22,0.07,1.06
2006-11-23,SCHISM,cache,4,13331.62,12689.33,2288.25,9153.88,6973.95,1.0,0.0,4.33,2.1,89.4,241.0,748.97,1672.76,1672.76,545.44,461.63,385.46,767.58,439.2,760.16,20947.56,13418.93,8981.04,2645.11,502.35,6156.09,3001.13,746.94,610.11,675.89,760.16,196.66,13212.6,1836.93,12001.44,10004.28,13747.89,1924.67,158.64,1748.14,6168.47,8980.87,28613.53,489.71,439.2,385.46,16964.01,17738.56,18887.18,1185.64,617.41,860.97,504.04,-0.09,0.41
