datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_delta,cu_total,cu_suisun,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,mrz,oh4,rsl.1,vcu.1,mtz,god,gzl,frk,bac,hol,ori
2006-11-14,SCHISM,franks,5,13238.49,12677.38,3213.67,8685.25,6508.46,1.0,0.0,4.4,0.47,91.6,91.1,-1167.34,-494.96,-494.96,672.98,606.56,594.03,686.89,517.08,827.5,19802.62,12351.32,9971.75,3233.71,571.23,7324.11,2315.5,329.29,259.42,576.46,700.58,337.0,13341.09,1000.04,12369.2,9885.47,11813.34,1267.87,171.25,1605.3,7330.12,9971.92,27073.48,399.72,517.08,594.03,12248.03,14983.76,14633.61,447.45,405.25,458.88,631.79
2006-11-15,SCHISM,franks,5,14228.99,13566.48,3341.38,8882.93,7516.64,1.0,0.0,5.03,0.35,90.8,50.9,-1119.89,-447.09,-447.09,576.25,388.01,347.05,706.59,500.03,721.71,21256.05,13727.85,10191.36,4582.2,872.65,7721.49,3213.32,534.11,340.85,613.65,701.62,316.86,12618.79,1210.0,12034.76,9904.07,11944.58,2148.56,180.38,2650.85,7734.52,10190.16,29236.05,379.49,500.03,347.05,14055.57,14820.47,16037.06,424.78,429.23,458.03,469.87
2006-11-16,SCHISM,franks,5,15349.64,14782.03,3464.28,9512.14,8522.86,1.0,0.0,5.4,0.22,90.0,14.3,-764.61,48.42,48.42,566.83,413.74,390.99,697.89,493.71,712.6,21060.11,13578.33,9872.72,4104.9,765.52,7332.95,3127.7,513.93,421.39,674.65,697.06,286.78,12098.85,1282.92,12008.54,10000.49,12409.68,2221.48,640.13,2655.83,7345.87,9870.99,28660.32,412.26,493.71,390.99,14996.18,15476.69,17220.21,434.96,420.75,459.3,443.64
2006-11-17,SCHISM,franks,5,16350.52,15775.31,3519.44,9893.19,9184.1,1.0,0.0,5.48,0.22,89.4,41.0,-751.68,70.3,70.3,531.59,417.57,395.68,704.11,479.79,708.66,20823.13,13347.79,9498.67,3619.78,629.71,6890.01,2945.11,498.77,464.38,697.68,700.79,243.44,12156.31,1382.75,12074.33,9956.94,12826.21,2081.7,270.2,2371.48,6903.34,9495.9,28423.31,418.84,479.79,395.68,15537.55,16175.56,17638.67,456.13,423.08,484.43,454.86
2006-11-18,SCHISM,franks,5,17418.9,16637.02,3525.11,9774.87,11064.4,1.0,0.0,5.07,0.2,88.4,45.3,-59.45,848.5,848.5,532.01,415.87,393.76,720.47,462.05,715.5,20391.12,12965.66,9080.57,3181.78,539.57,6409.02,2746.06,570.18,491.6,696.64,720.47,211.41,12400.58,1446.94,12123.02,9543.27,13166.5,1920.76,161.03,2111.06,6425.66,9078.66,28165.38,418.84,462.05,393.76,15749.64,16512.52,17753.36,485.7,444.49,520.66,459.09
2006-11-19,SCHISM,franks,5,18060.22,17270.07,3516.33,9737.75,12115.21,1.0,0.0,4.3,0.16,87.4,63.0,339.41,1214.63,1214.63,530.96,402.91,381.63,725.85,455.71,720.47,19768.31,12319.26,8269.54,2504.51,419.9,5760.88,2463.94,586.29,519.61,699.75,722.74,291.09,12672.48,1468.04,12058.1,9032.99,13275.94,1700.48,159.94,1728.45,5776.05,8267.79,27507.1,418.84,455.71,381.63,15738.6,16530.71,17585.77,504.67,466.07,558.24,418.41
2006-11-20,SCHISM,franks,5,18411.18,17539.08,3485.47,9904.97,12190.91,1.0,0.0,3.59,0.25,86.6,58.7,257.93,1145.5,1145.5,528.44,408.86,380.77,740.32,440.89,735.16,19342.0,11862.3,7713.21,2043.93,323.29,5282.95,2293.47,490.34,525.91,695.61,740.32,373.95,12910.57,1484.54,12010.57,8459.49,13414.08,1494.68,159.51,1440.57,5296.59,7711.45,27503.24,430.29,440.89,380.77,15762.15,16527.43,17329.81,532.85,500.24,595.28,424.14
2006-11-21,SCHISM,franks,5,18548.27,17823.98,3432.25,9641.22,12508.82,1.0,0.0,2.99,0.32,85.6,93.6,263.12,1194.19,1194.19,574.57,424.14,385.67,759.12,439.2,751.48,19019.13,11564.87,7395.03,1749.12,264.17,4978.24,2196.28,446.61,529.07,702.86,753.96,264.17,13106.13,1508.58,11937.98,7958.61,13541.38,1367.58,171.25,1259.44,4989.93,7394.86,27397.08,452.75,439.2,385.67,15725.1,16499.9,17086.53,554.46,524.23,629.5,486.97
2006-11-22,SCHISM,franks,5,18715.73,18078.45,3370.24,9768.59,12352.54,1.0,0.0,2.65,0.28,84.6,287.4,322.57,1236.62,1236.62,575.83,450.84,404.4,755.82,439.2,760.16,18438.12,11013.18,6876.49,1400.31,232.85,4601.87,2031.26,421.39,520.24,718.19,754.99,178.2,13257.68,1488.12,11770.64,7671.1,13580.33,1302.56,171.25,1124.51,4611.24,6875.42,26781.54,480.43,439.2,404.4,15554.37,16403.34,16868.23,540.83,560.12,662.18,483.17
2006-11-23,SCHISM,franks,5,19099.25,18456.96,3298.81,9669.82,12648.32,1.0,0.0,2.67,0.3,84.2,225.9,145.98,1069.77,1069.77,583.78,480.85,435.38,772.74,439.2,760.16,17741.33,10418.6,6362.83,1120.67,222.03,4235.66,1870.06,463.32,494.34,728.54,760.77,171.25,13385.96,1470.03,11556.04,7503.87,13596.38,1196.32,178.86,954.63,4244.54,6361.4,26492.95,517.93,439.2,435.38,15342.01,16271.11,16660.92,604.47,593.82,695.4,515.4
