datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_delta,cu_total,cu_suisun,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,mrz,oh4,rsl.1,vcu.1,mtz,god,gzl,frk,bac,hol,ori
2011-10-18,SCHISM,slr_base,2,23605.95,22320.55,5053.27,10840.83,18244.17,1.0,0.0,,,90.8,55.7,481.48,1814.53,1814.53,711.15,588.8,581.06,690.42,507.83,825.66,18679.3,12722.96,10117.8,3482.18,715.08,7543.24,2262.72,343.2,260.72,568.92,700.58,337.0,13416.76,1102.48,12282.13,9859.1,11748.6,1297.55,171.25,1775.08,7550.12,10117.98,22488.37,386.1,507.83,581.06,12571.81,15020.34,14429.39,482.54,406.52,451.69,649.91
2011-10-19,SCHISM,slr_base,2,22376.62,21397.44,4815.34,10249.73,17258.07,1.0,0.0,,,89.6,59.8,375.64,1600.14,1600.14,619.5,462.05,341.49,418.2,473.46,717.57,18102.33,12696.55,10008.93,4122.33,794.59,7118.96,2621.36,420.32,296.25,630.54,469.87,304.62,12685.1,1145.31,12106.62,10107.66,12026.98,1665.37,279.25,2172.62,7129.78,10007.03,24416.2,366.27,473.46,341.49,13280.46,14810.53,15149.85,449.15,425.63,464.38,549.85
2011-10-20,SCHISM,slr_base,2,21683.07,20764.79,4793.1,10257.81,16646.88,1.0,0.0,,,88.6,49.7,478.23,1715.73,1715.73,448.94,413.32,366.27,280.97,432.41,408.22,17493.76,12069.94,9191.29,3363.01,572.27,6422.08,2448.94,385.46,327.58,675.48,299.04,250.79,12072.81,1155.61,11981.81,9932.66,12521.94,1481.16,444.28,1814.96,6434.43,9189.38,24120.29,391.63,432.41,366.27,13854.03,14815.83,15649.97,420.96,432.2,469.66,423.72
2011-10-21,SCHISM,slr_base,2,21179.1,20247.29,4683.46,9773.1,16499.73,1.0,0.0,,,87.6,51.3,461.57,1739.97,1739.97,373.1,359.44,387.16,285.92,418.84,332.29,16919.56,11353.65,8435.02,2858.75,550.27,5742.65,2218.38,372.25,348.97,624.5,281.4,207.29,12265.25,1146.93,11897.35,9239.49,12828.56,1308.17,172.77,1552.43,5757.45,8433.62,23903.59,415.23,418.84,387.16,14093.88,14885.08,15634.98,446.18,436.87,473.25,338.5
2011-10-22,SCHISM,slr_base,2,21024.65,19788.71,4848.45,11502.75,14806.09,1.0,0.0,,,86.6,57.1,492.84,1805.41,1805.41,338.92,361.58,382.69,286.57,418.84,321.36,16390.06,10645.71,7593.35,2384.79,434.75,5114.56,1968.64,431.78,360.94,485.49,288.94,233.06,12507.79,1126.53,11811.82,8250.98,12975.56,1165.69,141.45,1309.17,5124.95,7591.23,23832.14,417.99,418.84,382.69,14088.22,14768.93,15368.59,484.86,439.2,484.43,336.14
2011-10-23,SCHISM,slr_base,2,20575.58,19033.25,4815.59,12049.64,13771.61,1.0,0.0,,,86.6,165.1,595.17,1900.33,1900.33,332.29,370.11,363.5,285.06,434.32,304.62,16062.7,10071.2,6957.03,2038.67,350.68,4626.13,1778.62,378.43,366.49,372.03,285.06,263.3,12645.39,1108.34,11707.91,7284.99,13021.39,1051.84,137.96,1127.34,4636.42,6954.37,23878.72,418.84,434.32,363.5,13959.75,14575.86,14972.67,528.44,445.97,506.35,342.13
2011-10-24,SCHISM,slr_base,2,20167.15,18607.97,4947.3,10832.09,14571.5,1.0,0.0,,,86.4,310.9,600.04,1864.72,1864.72,335.71,372.25,357.52,285.28,439.2,299.25,16431.22,9974.16,6921.66,1888.67,297.75,4451.69,1689.24,360.08,361.58,326.5,287.0,226.79,12723.97,1133.81,11574.04,6523.47,13063.01,1013.46,139.7,1029.11,4459.61,6919.35,24363.62,418.84,439.2,357.52,13891.72,14528.72,14565.57,581.27,452.96,548.8,341.06
2011-10-25,SCHISM,slr_base,2,19731.44,18490.45,4812.01,10677.56,14045.3,1.0,0.0,,,85.0,316.2,495.61,1766.42,1766.42,340.21,375.23,357.52,277.96,439.2,298.18,16391.21,9717.35,6714.79,1746.17,271.71,4091.36,1545.49,353.89,353.89,307.85,277.74,171.9,12787.88,1128.76,11335.79,6300.31,13048.92,958.91,147.76,937.08,4098.04,6713.54,23917.75,433.47,439.2,357.52,13752.23,14474.58,14375.72,607.6,482.11,589.22,341.06
2011-10-26,SCHISM,slr_base,2,19603.04,18623.75,4956.54,10583.57,14054.75,1.0,0.0,,,83.6,180.6,259.35,1548.23,1548.23,334.21,380.99,371.18,274.51,458.88,293.67,15571.35,9043.06,5973.97,1326.39,212.93,3594.87,1351.59,322.22,338.71,296.89,272.57,150.37,12810.75,1083.05,10958.42,6248.32,12900.66,838.6,129.47,749.21,3601.05,5971.99,24034.93,448.51,458.88,371.18,13547.06,14199.93,14143.83,564.1,507.83,603.43,342.99
2011-10-27,SCHISM,slr_base,2,18902.21,17926.19,4784.3,10548.57,13148.22,1.0,0.0,,,83.0,142.6,152.89,1431.7,1431.7,336.78,395.89,377.36,275.16,459.51,280.54,14768.77,8267.27,5093.23,966.86,179.72,3121.45,1183.23,263.74,331.64,294.1,275.16,150.37,12748.36,1051.84,10558.41,5995.02,12715.39,710.94,129.47,599.67,3128.64,5093.23,23884.7,461.63,459.51,377.36,13267.73,13909.9,13701.3,536.63,533.06,606.14,347.48
