datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_delta,cu_total,cu_suisun,trp,wci,vcu,vcu,uni,rsl,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,mrz,oh4,mtz,god,gzl,frk,bac,hol,ori,model_out_sf_tidal_filter,model_out_sf_tidal_energy
2014-01-31,SCHISM,slr_base,3,6379.28,6015.48,1229.16,4200.74,3983.42,1.00,1.00,1.42,-0.03,86.40,118.40,694.13,1371.09,1371.09,760.16,830.18,819.49,819.49,1017.53,560.54,560.54,1035.20,18075.23,10821.48,7133.86,2276.65,346.20,3144.53,674.44,332.72,454.44,1035.20,1017.12,171.25,8187.39,533.27,6690.01,6751.68,8876.01,618.04,171.25,890.68,3161.93,7131.20,26062.77,818.25,11045.92,12925.85,14809.87,538.31,805.91,644.91,833.67,4.84,2.32
2014-02-01,SCHISM,slr_base,3,6771.58,6361.14,1190.88,4212.09,3494.27,1.00,1.00,1.42,-0.03,84.40,146.00,-110.10,462.33,462.33,760.16,825.86,819.49,819.49,941.36,560.54,560.54,1035.20,17414.74,10205.96,6679.31,1987.19,284.63,2790.15,612.82,324.15,471.35,1035.20,982.95,171.25,8249.58,535.58,6663.97,6792.83,8847.13,550.69,172.12,776.04,2806.55,6677.53,26176.42,811.06,10787.99,12690.15,14521.58,546.70,820.72,665.50,831.00,4.81,1.92
2014-02-02,SCHISM,slr_base,3,6999.18,6631.88,1175.35,4258.14,3453.23,1.00,1.00,1.75,0.09,84.00,98.10,-365.06,37.67,37.67,760.16,833.26,799.74,799.74,920.94,560.54,560.54,1035.20,16094.25,9187.12,5533.57,1453.91,205.77,2291.73,547.33,300.33,500.03,1017.73,905.61,174.29,8278.12,540.41,6648.99,6467.52,8634.58,470.71,182.77,615.32,2304.68,5530.85,26247.55,800.56,10335.92,11892.95,14024.75,558.03,831.41,704.11,838.19,4.76,1.55
2014-02-03,SCHISM,slr_base,3,6677.35,6343.61,1174.71,4217.70,3255.87,1.00,1.00,1.47,0.09,83.20,101.40,-277.10,139.55,139.55,760.16,833.05,801.38,801.38,955.24,560.54,560.54,1035.20,16751.27,9025.87,5508.75,1276.70,199.92,2175.34,513.93,305.27,504.46,1015.70,948.71,181.90,8318.90,540.41,6698.92,5393.95,8656.03,439.41,171.25,528.44,2185.81,5506.58,26353.95,810.03,10264.52,11853.32,13625.12,571.64,826.48,715.29,835.93,4.77,1.35
2014-02-04,SCHISM,slr_base,3,6193.32,5888.84,1193.73,4200.86,2915.49,1.00,1.00,1.32,0.26,83.00,102.30,-168.41,342.09,342.09,760.16,817.02,799.74,799.74,941.57,560.54,560.54,1035.20,16624.08,8691.59,5161.75,1081.22,199.48,1875.16,485.28,309.99,516.24,1015.70,946.06,186.24,8339.72,543.98,6618.65,5536.65,8566.01,418.20,171.25,481.48,1886.52,5160.11,26841.92,798.29,9989.82,11479.44,13252.15,585.66,819.49,733.09,820.52,4.90,1.28
2014-02-05,SCHISM,slr_base,3,6246.76,5764.22,1214.53,4256.52,2910.16,1.00,1.00,1.34,0.31,81.80,79.80,-214.81,210.96,210.96,760.16,808.38,799.74,799.74,934.63,560.54,560.54,1033.78,16555.29,8660.39,5092.50,1018.34,197.96,1734.36,471.56,313.21,522.76,1014.88,935.85,186.68,8310.33,552.37,6262.85,5283.14,8438.34,403.76,171.25,449.15,1744.79,5089.58,27160.58,796.65,9783.08,11403.98,13189.97,597.58,819.49,741.57,810.03,4.96,1.30
2014-02-06,SCHISM,slr_base,3,6512.63,5778.32,1206.10,4244.15,2695.70,1.00,1.00,1.61,0.16,81.60,29.60,-749.28,-637.06,-637.06,760.16,810.44,785.32,785.32,906.63,560.54,560.54,1009.40,15223.40,7652.07,4072.25,790.26,192.10,1390.94,447.03,300.76,560.54,989.87,911.34,190.80,8248.18,563.27,5927.69,4952.66,8189.67,386.52,171.25,399.51,1397.72,4070.21,25990.18,792.32,9191.29,10354.11,13067.88,619.08,819.49,769.85,813.52,4.84,1.49
2014-02-07,SCHISM,slr_base,3,6435.93,5849.84,1206.00,4224.37,2030.33,1.00,1.00,1.92,0.02,81.40,-16.40,-1403.63,-1334.18,-1334.18,760.16,795.00,798.91,798.91,897.22,560.54,560.54,992.51,15362.98,7445.76,3870.73,711.15,192.10,1349.19,439.83,328.65,581.90,971.14,897.43,195.58,8201.94,571.43,5782.91,3735.14,8026.39,380.13,175.81,379.07,1355.79,3868.31,26107.61,795.82,9004.50,10203.04,12801.50,636.59,811.67,779.34,797.68,4.74,1.83
2014-02-08,SCHISM,slr_base,3,6830.36,6182.97,1239.78,4205.67,606.15,1.00,1.00,2.38,-0.03,81.20,-21.90,-3280.22,-3392.73,-3392.73,760.16,791.70,799.74,799.74,883.10,565.36,565.36,977.65,15348.61,7362.14,3751.20,661.56,193.19,1398.52,437.08,346.62,603.43,963.39,885.76,211.19,8127.27,579.39,5437.86,3328.36,7852.79,378.86,179.72,363.93,1405.30,3749.33,25557.43,790.67,8795.77,9961.93,12526.83,656.36,808.59,781.40,794.38,4.72,2.29
2014-02-09,SCHISM,slr_base,3,10231.29,7401.17,1285.33,4466.26,1996.55,1.00,1.00,2.98,0.03,81.00,-5.30,-5059.11,-5459.43,-5459.43,760.16,792.73,791.29,791.29,872.04,629.09,629.09,976.64,14798.27,6993.99,3645.42,555.09,194.49,1286.93,436.02,341.92,610.32,952.59,868.96,228.09,8070.61,596.53,4993.40,3045.89,7654.00,378.86,190.15,346.62,1292.54,3643.17,24228.40,789.03,8540.88,9801.01,12191.79,670.91,807.56,775.84,794.59,4.76,2.86
2014-02-10,SCHISM,slr_base,3,13001.68,9763.78,1333.48,4764.60,4529.44,1.00,1.00,3.58,0.06,79.20,17.00,-5024.11,-5340.65,-5340.65,760.16,797.27,783.46,783.46,876.96,786.55,786.55,976.43,14096.88,6647.20,3476.17,522.97,202.30,1224.89,445.34,341.49,601.76,942.79,867.32,234.36,8033.94,609.90,4644.32,2723.33,7481.44,382.69,192.10,345.77,1231.72,3473.36,23398.52,790.88,8352.49,9724.08,11851.97,702.86,808.79,774.39,796.24,4.77,3.50
2014-02-11,SCHISM,slr_base,3,16642.56,15037.09,1361.29,6062.01,7416.71,1.00,1.00,4.21,-0.05,78.80,30.00,-4495.13,-4587.39,-4587.39,760.16,800.56,787.17,787.17,919.92,936.06,936.06,964.00,13166.67,5966.95,3066.35,479.37,212.93,1108.95,455.50,355.60,611.78,931.97,908.48,245.60,8005.32,620.95,4336.58,2418.13,7301.10,386.74,194.71,347.91,1113.60,3064.27,22282.11,787.79,8044.99,9483.80,11321.16,717.15,808.59,779.96,799.53,4.66,4.05
2014-02-12,SCHISM,slr_base,3,21436.92,20344.59,1368.79,8652.20,10294.53,1.00,1.00,4.78,-0.08,78.20,1.70,-3857.28,-3888.48,-3888.48,760.16,799.94,795.21,795.21,955.44,995.36,995.36,955.64,12974.39,5820.62,2998.28,508.88,216.18,1140.07,469.24,379.92,618.04,927.69,944.43,240.63,7968.09,626.17,4095.07,2124.47,7101.22,395.04,192.10,352.61,1142.89,2996.57,22067.53,785.52,7850.68,9380.85,10686.77,721.50,808.38,783.46,796.85,4.61,4.54
2014-02-13,SCHISM,slr_base,3,24243.03,23272.59,1363.93,10105.81,13525.82,1.00,1.00,4.85,-0.13,78.40,2.40,-1972.94,-1776.43,-1776.43,760.16,792.73,794.18,794.18,987.83,996.18,996.18,944.43,12500.54,5468.87,2773.17,509.30,219.86,1104.90,476.63,390.57,624.08,916.24,970.52,235.88,7874.42,630.75,3797.85,2087.14,6890.18,398.44,181.68,361.58,1108.54,2771.26,21735.83,779.96,7542.88,8843.65,10237.91,724.81,805.50,786.97,792.73,4.56,4.62
2014-02-14,SCHISM,slr_base,3,23072.47,22181.63,1341.59,9660.37,14505.73,1.00,1.00,4.62,-0.07,78.40,28.20,-219.77,394.25,394.25,760.16,787.79,793.15,793.15,1034.59,996.18,996.18,939.53,12503.07,5507.84,2792.82,548.38,226.14,1149.96,487.60,405.46,627.83,910.52,1026.87,228.74,7563.00,628.88,3569.39,1999.09,6630.97,400.99,159.94,367.13,1152.78,2792.05,21866.39,779.96,7365.86,8543.14,9841.35,725.64,799.74,786.55,787.79,4.66,4.36
2014-02-15,SCHISM,slr_base,3,19037.65,18277.82,1313.94,8760.47,11404.86,1.00,1.00,4.09,0.03,77.80,66.90,-119.36,485.53,485.53,760.16,781.81,788.00,788.00,1041.29,996.18,996.18,937.49,12819.99,5673.27,2792.62,586.08,226.57,1193.70,491.18,414.59,634.29,916.24,1035.20,227.44,7199.45,628.46,3339.85,2138.85,6384.14,405.67,151.46,373.95,1197.93,2790.91,22203.89,779.55,7200.69,8374.88,9697.68,722.95,799.74,782.23,779.13,4.77,3.80
2014-02-16,SCHISM,slr_base,3,15761.42,15110.53,1274.51,8833.96,8068.82,1.00,1.00,3.48,0.04,77.00,140.30,7.15,640.64,640.64,760.16,780.58,779.96,779.96,1085.27,996.18,996.18,950.75,12127.08,5329.12,2562.70,557.61,219.43,1093.78,490.76,412.26,635.96,917.88,1074.54,220.94,6898.72,636.38,3034.51,2257.49,6087.46,409.07,171.25,370.11,1097.01,2561.93,21574.47,777.69,6860.30,8209.65,9532.38,724.61,797.68,778.72,777.28,4.80,3.22
2014-02-17,SCHISM,slr_base,3,14511.41,13888.43,1232.36,9250.15,6358.72,1.00,1.00,2.89,0.09,76.60,97.40,-37.50,591.20,591.20,760.16,784.91,779.96,779.96,1093.57,996.18,996.18,966.65,11912.25,5149.55,2478.18,535.58,205.99,1051.43,490.97,410.13,644.91,924.62,1092.97,220.73,6629.72,642.42,2931.62,2166.41,5848.57,413.32,171.25,364.57,1054.47,2478.18,21434.79,777.69,6618.29,7806.35,9317.64,727.50,793.76,779.13,780.58,4.82,2.70
