datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_delta,cu_total,cu_suisun,trp,wci,vcu,vcu.1,uni,rsl,rsl.1,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,mrz,oh4,mtz,god,gzl,frk,bac,hol,ori,model_out_sf_tidal_filter,model_out_sf_tidal_energy
2007-02-21,SCHISM,suisun,5,30124.22,28746.17,2363.96,9569.05,23120.59,0.0,0.0,1.7,0.09,60.6,205.2,406.67,1281.82,1281.82,529.7,410.35,486.75,486.75,747.35,332.72,332.72,775.22,1698.7,295.39,345.98,212.28,194.06,266.11,254.46,205.34,249.71,735.57,747.35,205.56,4552.96,398.44,3088.51,1726.09,4356.7,217.26,150.37,203.6,266.11,345.55,10548.65,363.5,1663.99,1860.27,1119.26,254.46,276.88,275.16,421.39,2.46,1.4
2007-02-22,SCHISM,suisun,5,28548.64,27150.68,2318.53,10043.6,20873.97,0.0,0.0,1.56,0.01,60.2,240.2,290.6,768.34,768.34,539.15,385.89,496.87,496.87,752.72,316.43,316.43,763.87,2244.72,312.78,312.57,192.97,181.68,269.77,246.68,200.57,240.2,714.05,735.36,189.93,4453.53,394.19,3136.21,1567.09,4062.23,201.87,150.37,181.03,269.77,312.78,11102.01,351.11,1442.37,1663.79,1013.06,254.46,275.16,274.73,447.24,2.41,1.26
2007-02-23,SCHISM,suisun,5,27394.72,25913.76,2278.4,10601.01,19146.18,0.0,0.0,1.69,-0.05,61.2,227.5,301.57,771.84,771.84,518.98,373.95,481.69,481.69,779.34,316.43,316.43,766.35,2000.46,324.58,328.22,175.81,179.51,265.46,238.69,194.27,231.98,704.11,757.47,177.77,4316.08,389.93,3138.29,1975.09,4033.46,196.88,147.1,174.29,265.46,328.0,10179.68,332.93,1593.23,1583.33,1047.98,254.46,275.16,275.16,406.95,2.32,1.34
2007-02-24,SCHISM,suisun,5,26781.6,25404.74,2279.19,10088.99,18966.36,0.0,0.0,1.92,0.07,64.8,131.6,126.16,516.46,516.46,499.82,365.63,473.46,473.46,780.58,305.48,305.48,799.74,3111.61,368.62,304.62,171.25,175.81,264.38,236.96,196.66,230.04,715.5,779.96,171.25,4150.68,380.77,2859.89,1866.54,3697.4,195.79,150.37,174.94,264.38,304.84,12084.31,334.86,1554.21,1533.19,1117.64,254.46,275.16,273.65,375.02,2.46,1.57
2007-02-25,SCHISM,suisun,5,28171.03,26132.91,2270.59,9368.56,20712.87,0.0,0.0,2.3,0.01,61.8,121.3,-238.89,56.62,56.62,504.67,368.62,487.39,487.39,777.07,295.82,295.82,804.68,4580.55,531.17,319.0,171.25,174.51,276.02,237.82,204.04,213.36,721.5,779.55,171.25,4056.67,363.71,2581.69,1604.31,3286.91,190.8,150.37,178.42,275.81,318.79,13688.27,337.0,1747.35,1747.94,1427.03,254.46,269.34,278.17,402.48,2.4,2.01
2007-02-26,SCHISM,suisun,5,31948.59,28555.29,2250.72,9364.95,23936.33,0.0,0.0,2.82,-0.05,61.6,216.7,-681.33,-526.18,-526.18,509.93,370.97,465.85,465.85,795.62,295.82,295.82,820.52,3883.59,547.12,311.71,171.25,179.29,269.56,235.01,191.24,211.63,727.3,771.3,171.25,4040.52,366.49,2502.02,1547.08,3244.66,198.18,150.37,178.42,269.56,311.49,11625.46,338.92,1920.76,1764.46,1701.46,243.87,270.85,277.1,385.46,2.34,2.5
2007-02-27,SCHISM,suisun,5,36193.19,31977.89,2361.86,9187.58,28166.11,0.0,0.0,3.44,-0.02,61.4,239.5,-961.86,-728.22,-728.22,497.08,370.33,454.65,454.65,752.93,276.24,276.24,844.14,3501.89,538.94,331.43,171.25,182.55,264.81,226.79,184.94,209.46,737.22,778.93,171.25,3926.58,364.35,2343.12,1366.18,3124.1,197.31,135.13,179.29,264.81,331.43,11633.1,339.99,2013.91,1982.51,1704.02,233.71,271.07,275.59,374.59,2.34,3.07
2007-02-28,SCHISM,suisun,5,38810.01,36102.26,2530.89,8399.95,31451.39,0.0,0.0,3.92,0.01,61.0,161.8,-1327.77,-1107.08,-1107.08,489.29,367.98,448.94,448.94,708.25,287.21,287.21,818.67,3145.29,510.77,351.33,171.25,172.77,259.64,225.27,187.76,207.51,741.57,730.61,173.64,3826.57,356.24,2249.17,1831.05,2997.14,191.67,125.99,179.29,259.64,351.33,10423.05,338.28,2058.73,2131.85,1741.44,233.71,270.2,275.81,388.01,2.36,3.53
2007-03-01,SCHISM,suisun,5,42103.95,39823.74,2740.88,7917.78,36347.43,0.0,0.0,4.26,0.03,60.0,115.0,-464.62,-212.67,-212.67,474.94,377.58,420.75,420.75,686.06,295.82,295.82,777.48,2816.65,449.99,368.83,167.99,164.07,256.18,222.03,179.51,199.92,751.9,695.81,171.25,3652.15,351.11,2130.49,1800.62,2862.75,180.81,133.83,162.77,256.18,369.47,10621.41,328.86,2012.94,2199.0,1632.39,233.06,269.99,271.5,412.89,2.36,3.87
2007-03-02,SCHISM,suisun,5,43066.75,41114.06,2898.67,9036.62,36679.01,0.0,0.0,4.34,-0.04,59.0,56.2,-193.6,142.0,142.0,505.51,393.76,408.01,408.01,617.2,303.12,303.12,756.44,2174.37,381.41,337.64,150.37,164.51,244.74,216.39,169.51,197.75,761.19,640.75,166.9,3457.96,355.81,2048.21,1732.78,2852.47,178.2,134.92,161.03,244.74,337.64,9633.63,323.93,1800.82,2028.53,1425.43,228.09,264.17,260.72,433.9,2.29,3.92
