datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_delta,cu_total,cu_suisun,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,mrz,oh4,rsl.1,vcu.1,mtz,god,gzl,frk,bac,hol,ori,model_out_sf_tidal_filter,model_out_sf_tidal_energy
2011-10-18,SCHISM,suisun,6,24081.4,22796.0,4278.78,9709.52,18203.93,1.0,0.0,2.03,0.07,89.4,55.0,-391.73,930.06,930.06,660.72,571.85,550.48,686.89,492.87,806.53,18724.26,13167.0,10006.0,3468.66,645.33,7940.86,2705.18,364.14,269.34,563.69,700.58,337.0,13291.85,1166.09,12008.71,10105.42,11697.22,1408.49,171.25,1705.01,7947.01,10006.34,22076.1,388.65,492.87,550.48,14166.14,14987.41,14952.64,483.38,409.71,458.03,592.98,0.12,-2.16
2011-10-19,SCHISM,suisun,6,23465.05,22485.88,4169.9,9424.01,17598.02,1.0,0.0,1.9,0.03,86.4,59.0,-553.93,663.5,663.5,604.05,415.02,344.91,417.35,437.92,681.91,18067.6,12597.07,9744.79,2823.7,326.93,7486.03,2510.66,379.49,293.24,643.25,448.3,313.64,12191.79,1186.25,12541.65,9938.17,11828.76,1603.92,419.48,1717.42,7496.81,9744.96,24726.74,376.08,437.92,344.91,14492.85,15114.96,15635.8,469.24,425.2,467.76,502.98,0.06,-1.51
2011-10-20,SCHISM,suisun,6,22408.02,21489.73,4117.92,9151.08,16875.56,1.0,0.0,1.86,-0.12,83.6,47.7,-451.59,778.14,778.14,434.96,410.13,369.05,319.43,421.6,405.03,16480.89,11187.71,8268.49,1365.18,284.63,6262.85,1953.41,287.43,296.68,696.23,330.36,252.73,11903.95,1092.36,12564.56,9748.07,11975.04,1232.13,236.09,1122.09,6273.43,8268.14,23449.93,406.95,421.6,369.05,14632.28,14843.5,15626.74,424.14,423.72,460.78,445.34,-0.1,-1.51
2011-10-21,SCHISM,suisun,6,21863.24,20931.43,4093.28,8900.82,16562.4,1.0,0.0,1.96,-0.26,82.2,48.4,-444.91,825.69,825.69,370.11,397.59,385.46,287.21,439.2,363.71,14671.1,9369.07,6167.94,780.16,348.33,4902.57,1530.22,287.86,307.42,471.35,277.96,197.31,12049.82,1017.93,12429.24,9116.16,12081.1,1003.91,150.37,823.19,4913.18,6167.22,21874.49,418.84,439.2,385.46,14374.55,14569.39,15110.0,394.19,419.69,444.7,365.63,-0.29,-1.4
2011-10-22,SCHISM,suisun,6,22410.89,21174.95,4149.11,9531.67,16606.54,1.0,0.0,2.2,-0.19,81.8,52.9,-368.89,932.38,932.38,348.33,396.31,390.99,288.07,439.2,326.93,13832.0,8078.51,4824.97,594.03,236.31,3941.84,1350.19,294.96,315.14,350.26,275.16,216.18,12169.49,1013.46,12597.57,8668.23,12234.86,809.0,139.92,655.73,3947.98,4824.24,22121.83,418.84,439.2,390.99,14240.36,14513.77,14479.23,395.04,410.35,436.23,348.12,-0.2,-1.15
2011-10-23,SCHISM,suisun,6,23364.47,21822.14,4308.25,10676.36,16628.25,1.0,0.0,2.68,0.02,82.4,162.4,-205.71,1088.26,1088.26,348.97,402.91,382.48,286.14,439.2,316.64,14183.45,7674.45,4433.63,501.72,194.06,3462.28,1311.17,239.55,306.56,306.13,275.16,194.71,12364.31,1059.34,12940.3,7985.83,12510.32,706.8,139.49,557.82,3466.41,4432.33,23315.69,409.28,439.2,382.48,14216.23,14446.84,13956.92,419.05,400.78,436.87,354.32,0.05,-0.59
2011-10-24,SCHISM,suisun,6,25116.49,23557.31,4515.77,10342.74,18841.53,1.0,0.0,3.4,0.09,82.0,293.7,-154.29,1109.68,1109.68,344.7,391.21,379.28,307.85,429.02,305.91,15515.78,8061.49,4737.0,498.56,178.2,3334.01,1351.79,243.23,291.09,295.82,309.78,159.29,12696.21,1152.58,13303.41,7250.29,12917.12,667.38,137.53,525.07,3338.16,4735.17,24603.21,399.72,429.02,379.28,14394.33,14424.24,13941.58,475.15,398.44,450.84,354.1,0.15,0.19
2011-10-25,SCHISM,suisun,6,26442.29,25201.31,4715.01,9614.6,21041.67,1.0,0.0,4.2,0.02,80.6,293.8,-207.23,1062.85,1062.85,353.68,393.97,395.68,295.39,418.84,320.72,15233.15,7735.4,4507.13,422.66,171.25,3011.75,1236.15,246.9,283.56,296.03,284.42,149.5,13048.92,1154.4,13495.73,6250.65,13160.97,636.17,226.57,463.53,3015.36,4506.76,23960.06,399.29,418.84,395.68,14459.13,14589.8,13962.75,506.77,398.44,477.68,363.29,0.07,1.09
2011-10-26,SCHISM,suisun,6,27522.85,26543.56,4864.5,9467.33,22393.56,1.0,0.0,4.93,-0.03,78.6,166.7,-359.76,925.24,925.24,351.33,388.44,398.44,314.07,418.84,309.56,13936.61,6601.16,3489.88,319.22,188.85,2490.29,1021.59,229.39,267.62,308.49,307.2,150.37,13199.02,1080.21,13547.06,6171.53,13266.39,581.9,205.99,420.11,2492.98,3489.12,22934.24,400.99,418.84,398.44,14164.97,14349.29,13575.65,440.26,415.02,479.37,362.43,0.0,1.86
2011-10-27,SCHISM,suisun,6,27848.63,26872.61,5021.68,9424.7,22892.63,1.0,0.0,5.42,0.01,77.2,130.5,-422.48,852.45,852.45,366.27,398.02,402.48,319.86,418.84,334.43,13248.55,5813.94,2865.8,306.34,228.52,2087.34,894.16,246.47,265.89,297.32,316.43,167.12,13267.56,1028.9,13475.32,5866.24,13318.32,519.4,220.51,398.65,2089.28,2864.46,22381.86,416.93,418.84,402.48,13672.4,13831.84,13011.49,406.1,414.38,462.47,373.53,0.04,2.39
