trial_name,mean_nse_base,mean_nse_suisun,mean_nse_overall,mean_r2,trunk_layers,freeze_schedule,ndays,dsm2_init_lr,dsm2_main_lr,dsm2_init_epochs,dsm2_main_epochs,schism_init_lr,schism_main_lr,schism_init_epochs,schism_main_epochs,multi_init_lr,multi_main_lr,multi_init_epochs,multi_main_epochs,source_weight,target_weight,contrast_weight,per_scenario_branch,branch_layers
Trial1,0.9494,0.9041,0.9268,0.9295,"[{'type': 'GRU', 'units': 38, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 19, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 0]",90,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,0.5,False,[]
Trial2,0.954,0.9084,0.9312,0.9338,"[{'type': 'GRU', 'units': 38, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 19, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 0]",90,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,1.0,False,[]
Trial3,0.9548,0.9085,0.9317,0.934,"[{'type': 'GRU', 'units': 38, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 19, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 0]",105,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,0.5,False,[]
Trial4,0.9378,0.9106,0.9242,0.926,"[{'type': 'GRU', 'units': 38, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 19, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 0]",105,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,1.0,False,[]
Trial5,0.9488,0.9089,0.9288,0.9306,"[{'type': 'GRU', 'units': 38, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 19, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 0]",120,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,0.5,False,[]
Trial6,0.9506,0.9064,0.9285,0.9308,"[{'type': 'GRU', 'units': 38, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 19, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 0]",120,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,1.0,False,[]
Trial7,0.9611,0.9072,0.9341,0.9361,"[{'type': 'GRU', 'units': 38, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 19, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 1]",90,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,0.5,False,[]
Trial8,0.9591,0.9067,0.9329,0.9348,"[{'type': 'GRU', 'units': 38, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 19, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 1]",90,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,1.0,False,[]
Trial9,0.9578,0.9105,0.9341,0.9359,"[{'type': 'GRU', 'units': 38, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 19, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 1]",105,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,0.5,False,[]
Trial10,0.9578,0.9089,0.9334,0.9353,"[{'type': 'GRU', 'units': 38, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 19, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 1]",105,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,1.0,False,[]
