trial_name,mean_nse_base,mean_nse_target,mean_nse_overall,mean_r2,contrast_weight,feature_layers,freeze_schedule,ndays,dsm2_init_lr,dsm2_main_lr,dsm2_init_epochs,dsm2_main_epochs,schism_init_lr,schism_main_lr,schism_init_epochs,schism_main_epochs,suisun_init_lr,suisun_main_lr,suisun_init_epochs,suisun_main_epochs
Trial1,0.9544,0.9084,0.9314,0.9333,0.5,"[{'type': 'GRU', 'units': 32, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 16, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 0]",90,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial2,0.9526,0.9141,0.9333,0.9354,0.5,"[{'type': 'GRU', 'units': 32, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 16, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 0]",105,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial3,0.9487,0.9084,0.9285,0.9315,0.5,"[{'type': 'GRU', 'units': 32, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 16, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 0]",120,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial4,0.9564,0.908,0.9322,0.9342,0.5,"[{'type': 'GRU', 'units': 32, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 16, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 1]",90,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial5,0.9596,0.9112,0.9354,0.9373,0.5,"[{'type': 'GRU', 'units': 32, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 16, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 1]",105,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial6,0.9581,0.9127,0.9354,0.9375,0.5,"[{'type': 'GRU', 'units': 32, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 16, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 1]",120,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial7,0.9582,0.905,0.9316,0.9334,0.5,"[{'type': 'GRU', 'units': 32, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 16, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 2]",90,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial8,0.96,0.9092,0.9346,0.9363,0.5,"[{'type': 'GRU', 'units': 32, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 16, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 2]",105,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial9,0.9582,0.9047,0.9315,0.9333,0.5,"[{'type': 'GRU', 'units': 32, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 16, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 2]",120,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial10,0.9561,0.914,0.9351,0.9371,0.5,"[{'type': 'GRU', 'units': 38, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 19, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 0]",90,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial11,0.9538,0.9139,0.9338,0.9361,0.5,"[{'type': 'GRU', 'units': 38, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 19, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 0]",105,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial12,0.9537,0.9163,0.935,0.9368,0.5,"[{'type': 'GRU', 'units': 38, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 19, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 0]",120,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial13,0.9611,0.9128,0.9369,0.9387,0.5,"[{'type': 'GRU', 'units': 38, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 19, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 1]",90,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial14,0.9626,0.9177,0.9402,0.9423,0.5,"[{'type': 'GRU', 'units': 38, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 19, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 1]",105,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial15,0.9597,0.9134,0.9365,0.9385,0.5,"[{'type': 'GRU', 'units': 38, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 19, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 1]",120,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial16,0.9654,0.9092,0.9373,0.9389,0.5,"[{'type': 'GRU', 'units': 38, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 19, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 2]",90,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial17,0.9642,0.9098,0.937,0.9388,0.5,"[{'type': 'GRU', 'units': 38, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 19, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 2]",105,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial18,0.9645,0.9122,0.9384,0.94,0.5,"[{'type': 'GRU', 'units': 38, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 19, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 2]",120,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial19,0.9546,0.9085,0.9315,0.9338,1.0,"[{'type': 'GRU', 'units': 32, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 16, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 0]",90,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial20,0.9522,0.914,0.9331,0.935,1.0,"[{'type': 'GRU', 'units': 32, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 16, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 0]",105,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
